0,1,2,3,4,5,6,7
DISPATCHES,,,,,,,
,Table 2. Admitting clinical characteristics of patients 8 through 14 with severe acute respiratory syndrome,,,,,,
,,,,Patient,,,
Characteristic,8,9,10,11,12,13,14
Sex,M,F,M,F,F,F,F
Age,63,74,72,28,24,28,21
Source,Inpatient,Inpatient,Inpatient,HCW,HCW,HCW,HCW
Admission diagnosis,Pneumonia;,Escherichia,Pneumonia.,Suspect,Suspect,Suspect,Suspect
,SARS,coli UTI;,SARS contact,SARS,SARS,SARS,SARS
,contact,SARS contact,,,,,
Co-illnesses,IHD; DM;,IHD; DM;,Dilated,None,None,None,None
,hypertension,hypertension;,cardiomyopathy;,,,,
,,cerebrovascular,hypertension;,,,,
,,disease,chronic renal,,,,
,,,failure,,,,
Symptoms,,,,,,,
