0,1,2,3,4,5,6,7,8
with late onset to live near an agricultural produce market,,,,,"tion and the sensitivity and specificity are unknown. Third,",,,
,"Table 4. Prevalence (%) of physical signs, chest x -ray findings, and blood count abnormalities on admission to hospital, SARS patients,",,,,,,,
,"Guangdong, China, November 2002–April 2003a",,,,,,,
,,Adults,Children,,,Older persons,,
,All,(18–64 y),(<18 y),,,(>65 y),,
Variable,(n = 662),(n = 534),(n = 51),ORb (95% CI),p,(n = 66),ORb (95% CI),p
Physical signs,,,,,,,,
Temperature (>38°C),91.3,90.9,97.8,0.9 (0.3 to 3.9),,89.7,0.5 (0.1 to 1.2),
Rigors,15.9,16.9,10.9,0.5 (0.2 to 1.3),,10.6,0.6 (0.2 to 1.2),
Lethargy,10.3,11.8,2.0,0.2 (0.0 to 0.8),,4.5,0.4 (0.1 to 1.1),
Myalgia,6.6,8.1,2.0,0.2 (0.0 to 1.2),,0.0,0.0 (0.0 to 0.6),0.009
Cough,50.0,46.6,64.7,2.1 (1.9 to 3.9),0.02,68.2,2.5 (1.4 to 4.3),0.002
Sputum,10.4,8.6,13.7,1.7 (0.7 to 3.8),,24.2,3.4 (1.8 to 6.4),<0.001
Dyspnea,6.0,5.8,2.0,0.3 (0.0 to 1.8),,12.1,2.2 (0.9 to 4.5),
Clinical test results,,,,,,,,
Abnormal chest x-ray,87.2,87.5,84.3,0.8 (0.4 to 1.8),,86.4,0.9 (0.4 to 2.0),
Leukopenia,13.9,14.2,16.3,1.2 (0.5 to 2.7),,8.3,0.6 (0.2 to 1.5),
(<3.5x109/L),,,,,,,,
