0,1,2,3
"Table 1. Wild bird species from which oropharyngeal swabs and fecal samples were collected and screened for coronavirus RNA,",,,
England,,,
Taxonomic family,Common name,Latin name,No. birds screened
Sulidae,Northern gannet,Morus bassanus,1
Phalacrocoracidae,Great cormorant,Phalacrocorax carbo,2
Ardeidae,Grey heron,Ardea cinerea,35
Anatidae,Whooper swan,Cygnus cygnus,55
,Mute swan,Cygnus olor,25
,Pink-footed goose,Anser brachyrhynchus,3
,Greylag goose,Anser anser,1
,Canada goose,Branta canadensis,1
,Brent goose,Branta bernicla,7
,Common shelduck,Tadorna tadorna,2
,Mallard,Anas platyrhynchos,34
,Northern pintail,Anas acuta,9
,Northern shoveler,Anas clypeata,1
,Eurasian wigeon,Anas penelope,33
,Common teal,Anas crecca,18
,Common pochard,Aythya ferina,10
Accipitridae,Eurasian sparrowhawk,Accipiter nisus,4
Falconidae,Common kestrel,Falco tinnunculus,1
Rallidae,Common moorhen,Gallinula chloropus,1
,Common coot,Fulica atra,13
Haematopodidae,Eurasian oystercatcher,Haematopus ostralegus,42
Charadriidae,Ringed plover,Charadrius hiaticula,5
Scolopacidae,Dunlin,Calidris alpina,8
,Sanderling,Calidris alba,8
,Red knot,Calidris canutus,14
,Ruddy turnstone,Arenaria interpres,26
,Common redshank,Tringa totanus,3
,Eurasian woodcock,Scolopax rusticola,3
Laridae,Black-headed gull,Larus ridibundus,7
,Herring gull,Larus argentatus,15
,Great black-backed gull,Larus marinus,1
,Lesser black-backed gull,Larus fuscus,2
Sternidae,Common tern,Sterna hirundo,25
Alcidae,Common guillemot,Uria aalge,1
Columbidae,Rock dove,Columba livia,2
,Eurasian collared dove,Streptopelia decaocto,5
Tytonidae,Barn owl,Tyto alba,4
Prunellidae,Dunnock/Hedge accentor,Prunellla modularis,1
Turdidae,Northern wheatear,Oenanthe oenanthe,2
Passeridae,House sparrow,Passer domesticus,4
Fringillidae,European greenfinch,Carduelis chloris,2
,Eurasian siskin,Carduelis spinus,5
