0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Table 1 Fecal swab PCR results for Stationary Group, Principal Group, and Sentinels from Day 2-42*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42
SG-1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,+,+,+,+,-,+,-,+,+,+,+,+,+,-,+,+
SG-2,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-
SG-3,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-
SG-4,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-
SG-5,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-
PG-1,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-
PG-2,-,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PG-3,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-
PG-4,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PG-5,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
PG-6,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PG-7,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+
PG-8,-,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PG-9,-,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S1,,,,,,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,,,,,,,,
S2,,,,,,,,,,,,,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,+,+,+,-,-,-,+
S3,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S4,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-
