0,1,2,3
Table 41 (Abstract P294). Subgroup analysis.,,,
Subgroup analysis,Mortality,Infections,
Monotherapy,"RR 0.91 (95% CI 0.80, 1.04; P","RR 0.95 (95% CI 0.85, 1.06; P",
,= 0.18),= 0.36),
Combined,"RR 1.08 (95% CI 0.93, 1.25; P","RR 0.90 (95% CI 0.78, 1.05; P",
therapy,= 0.33),= 0.18),
High dose,"RR 0.98 (95% CI 0.87, 1.11; P","RR 0.97 (95% CI 0.89, 1.05; P",
,= 0.78),= 0.46),
Daily dose = 500,"RR 0.88 (95% CI 0.57, 1.34; P","RR 0.87 (95% CI 0.64, 1.19; P",
mcg,= 0.54),= 0.39),
,,,Fig. 76 (Abstract P295). Effects of probiotics on infections.
Low dose,"RR 0.94 (95% CI 0.67, 1.33; P","RR 0.87 (95% CI 0.72, 1.05; P",
,= 0.75),= 0.15),
Loading dose,"RR 0.91 (95% CI 0.76, 1.09; P","RR 0.99 (95% CI 0.90, 1.09; P",P296
,= 0.30),= 0.84),
,,,Diabetes with hyperglycemic crisis episodes may be associated
No loading dose,"RR 1.01 (95% CI 0.90, 1.14; P","RR 0.87 (95% CI 0.77, 0.99; P",with higher risk of pancreatic cancer: a population-based cohort
,= 0.83),= 0.03),study
,,,Y. Su
