0,1,2,3,4,5,6,7,8,9,10
,TBP,1.274,6,1.939,,7,1.12,4,,2.45
,𝛽-ACT,1.68,8,2.437,,8,2.35,8,,2.94
,CypA,0.625,1,1.068,,2,0.99,2,,1.95
,,,,,,2.5,,,,
20,,,,,Db,,,,,
,,,,,,2.0,,,,
15,,,,,,,,,,
,,,,,,1.5,,,,
,,,,,,,,Aa,,Aa Aa
,,,,,,Relative expression level,Aa Aa Aa,,Aa Aa,
"Relative expression level
4",,,,,,,,,,
,,,,,Ca,,,,,
,,,,Ca,,,,,,
,,,,,,1.0,,,,
3,,,,Ca,,,,,,
,,,Cb,,,,,,,
2,,,,,,,,,,
,,,,,,0.5,,,,
Aa Aa Aa Aa,,,,,,,,,,
1,Ba Ba Ba Ba,,,,,,,,,
,,Ba Ba Ba,,,,,,,,
0,,,,,,0.0,,,,
Brains,Alimentary canals,,Epidermises,Fat bodies,,,16L:8D,,,8L:16D
