0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,Table 3: Continued.,,,,,,
U code,,,,,U code proportion to each KCD 6 code,,,,,,,
M545,M791,M626,M171,M544,G438,G439,G519,F502,M542,M796,M255,M549
U650,,,,,,,,,,,,
0.21%,0.35%,0.35%,0.97%,0.14%,1.49%,0.60%,0.61%,8.57%,0.06%,0.08%,0.05%,0.21%
K30,C259,K295,K296,C169,,,,,,,,
U730,,,,,,,,,,,,
1.46%,19.57%,6.81%,3.75%,1.23%,,,,,,,,
T676,G244,G442,,,,,,,,,,
U230,,,,,,,,,,,,
11.43%,0.56%,5.82%,,,,,,,,,,
M478,M545,F453,M791,M626,G438,M179,M255,N951,,,,
U710,,,,,,,,,,,,
5.22%,0.13%,3.95%,0.14%,0.17%,1.98%,0.07%,0.11%,2.29%,,,,
G700,,,,,,,,,,,,
U660,,,,,,,,,,,,
8.77%,,,,,,,,,,,,
M253,M758,M759,M249,,,,,,,,,
U640,,,,,,,,,,,,
1.14%,2.32%,0.89%,0.29%,,,,,,,,,
M622,M179,G442,I630,M796,G501,G819,G909,,,,,
U233,,,,,,,,,,,,
2.26%,0.57%,1.89%,15.00%,0.45%,0.42%,0.76%,0.55%,,,,,
K30,M171,M791,M626,N318,M544,M179,F458,F480,M750,M758,M796,N944
U794,,,,,,,,,,,,
0.76%,1.72%,0.26%,0.36%,17.14%,0.04%,0.04%,1.40%,0.33%,0.02%,0.04%,0.02%,0.56%
M543,M626,M545,L031,M242,M791,H111,M199,M489,M549,E282,M759,
U784,,,,,,,,,,,,
1.70%,0.36%,0.06%,2.15%,3.38%,0.09%,2.64%,1.30%,3.64%,0.48%,3.39%,0.04%,
K30,F982,L211,,,,,,,,,,
U332,,,,,,,,,,,,
2.10%,1.20%,6.67%,,,,,,,,,,
K219,M626,M624,,,,,,,,,,
U260,,,,,,,,,,,,
13.19%,0.58%,3.33%,,,,,,,,,,
F500,K30,K590,,,,,,,,,,
U600,,,,,,,,,,,,
5.17%,0.72%,6.42%,,,,,,,,,,
M545,M750,M759,M796,M170,M544,M626,M255,M772,,,,
U204,,,,,,,,,,,,
0.09%,0.67%,0.36%,0.42%,0.85%,0.09%,0.08%,0.09%,0.94%,,,,
"Values are reported as the proportion of the U code in each KCD 6 code, %.",,,,,,,,,,,,
