0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Season*,Total,Mean,Max,Total,Mean,Max,Total,Mean,Max,Total,Mean,Max,Total,Mean,Max,Total,Mean,Max,Total,Mean,Max,Total,Mean,Max
2003/,538,10,92,52,1,6,1697,33,165,–,–,–,–,–,–,949,18,76,–,–,–,732,14,41
2004,,,,,,,,,,,,,,,,,,,,,,,,
2004/,660,12,95,182,3,20,1980,37,208,–,–,–,–,–,–,1320,25,107,–,–,–,816,15,41
2005,,,,,,,,,,,,,,,,,,,,,,,,
2005/,298,6,39,152,3,21,2249,43,252,84,2,8,306,12,22,1579,30,145,–,–,–,888,17,51
2006,,,,,,,,,,,,,,,,,,,,,,,,
2006/,398,8,50,14,0,2,1959,38,225,90,2,12,750,14,35,1054,20,84,297,11,33,1454,28,82
2007,,,,,,,,,,,,,,,,,,,,,,,,
2007/,206,4,27,199,4,22,2161,42,239,111,2,11,803,15,33,1829,35,137,1157,22,118,804,15,71
2008,,,,,,,,,,,,,,,,,,,,,,,,
2008/,796,15,144,119,2,13,2465,47,278,279,5,24,1085,21,38,1862,36,144,2059,40,163,1066,21,52
2009,,,,,,,,,,,,,,,,,,,,,,,,
2009/,514,10,89,22,0,3,3102,59,297,313,6,33,2253,43,94,2232,42,180,3617,68,265,1265,24,62
2010,,,,,,,,,,,,,,,,,,,,,,,,
2010/,940,18,194,506,10,65,2732,53,264,402,8,31,2092,40,66,1507,29,124,2662,51,149,1538,30,97
2011,,,,,,,,,,,,,,,,,,,,,,,,
2011/,785,15,123,58,1,9,1884,36,125,246,5,16,1810,35,64,1241,24,92,2536,49,124,1013,19,44
2012,,,,,,,,,,,,,,,,,,,,,,,,
Total,5142,,,1309,,,20 282,,,1556,,,9646,,,13 654,,,12 919,,,10 191,,
