0,1,2,3,4,5,6,7
Perception	of,Adults,Unproblematic,50/61	(82),11/11	(100),61/72	(85),Undefined,<0.01
self‐swabbing?,,,,,,,
,,Only	briefly,11/61	(18),0/11	(0.0),11/72	(15),,
,,unpleasant,,,,,
,,Longer,0/61	(0.0),0/11	(0.0),0/72	(0.0),,
,,unpleasant,,,,,
,,Refusal,0/61	(0.0),0/11	(0.0),0/72	(0.0),,
,Children,Unproblematic,9/23	(39),2/6	(33),11/29	(38),0.04,
,,Only	briefly,12/23	(52),2/6	(33),14/29	(48),,
,,unpleasant,,,,,
,,Longer,0/23	(0.0),2/6	(33),2/29	(6.9),,
,,unpleasant,,,,,
,,Refusal,2/23	(8.7),0/6	(0.0),2/29	(6.9),,
Did	an	injury	occur?,Adults,Yes,0/61	(0.0),0/11	(0.0),0/72	(0.0),Undefined,Undefined
,,No,61/61	(100),11/11	(100),72/72	(100),,
,Children,Yes,0/23	(0.0),0/6	(0.0),0/29	(0.0),Undefined,
,,No,23/23	(100),6/6	(100),29/29	(100),,
Willing	to	participate	in,Adults,Yes,58/59	(98),11/11	(100),69/70	(99),0.66,0.48
self‐swabbing	for	longer,,,,,,,
,,No,1/59	(1.7),0/11	(0.0),1/70	(1.4),,
time?,,,,,,,
,Children,Yes,20/21	(95),6/6	(100),26/27	(96),0.59,
,,No,1/21	(4.8),0/6	(0.0),1/27	(3.7),,
Did	you	find	it	interesting,Adults,Yes,46/55	(84),10/11	(91),56/66	(85),0.54,0.03
to	know	which,,,,,,,
,,No,9/55	(16),1/11	(9.1),10/66	(14),,
pathogens	were,,,,,,,
,Children,Yes,22/22	(100),6/6	(100),28/28	(100),Undefined,
detected?,,,,,,,
,,No,0/22	(0.0),0/6	(0.0),0/28	(0.0),,
General	study	procedure,Adults,Yes,61/61	(100),11/11	(100),72/72	(100),Undefined,NA
acceptable?,,,,,,,
,,No,0/61	(0.0),0/11	(0.0),0/72	(0.0),,
,Children,not asked,,,,NA,
