0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Journal of Tropical Medicine,,,,,,,,,,,,,,,3
,,0,1,0,0,0,0,0,0,0,0,0,X,,
,Respiratorysyncytial,,,,,,,,,,,,,,
,Parainﬂuenzavirus3,1,"1,a",1,1,"7,a",0,1,0,0,1,X,0,,
,Parainﬂuenzavirus2,0,0,0,0,3b,1,0,0,"1,b",X,1,0,,
,Parainﬂuenzavirus1,0,0,0,0,b,0,0,0,X,"1,b",0,0,,
,InﬂuenzavirusC,2,0,1,0,1,0,0,X,0,0,0,0,,
,InﬂuenzavirusB,0,0,0,0,0,0,X,0,0,0,1,0,,
"Numberofspecimenswithindicatedvirusdetected
Doubleinfectionwithindicatedvirus",InﬂuenzavirusA,0,0,0,0,0,X,0,0,0,0,0,0,,
Table2:Coappearanceofviralpathogensinpatientswithrespiratorytractinfection.,Humanrhinovirus,2,"2,a",0,2,X,0,0,1,B,"3,b","7,a",0,,
,,0,0,0,X,2,0,0,0,0,0,1,0,"Twotripleinfections,onewithbocavirus,humanrhinovirus,andparainﬂuenzavirus3(a)andtheotherwithhumanrhinovirus,parainﬂuenzavirus1andparainﬂuenzavirus2(b)weredetected.",
,Humanmetapneumovirus,,,,,,,,,,,,,,
,Humanenterovirus,0,0,X,0,0,0,0,1,0,0,1,0,,
,Humanbocavirus,0,X,0,0,"3,a",0,0,0,0,0,"1,a",1,,
,Adenovirus,X,0,0,0,2,0,0,2,0,0,1,0,,
,Alone,7,1,5,4,68,2,1,8,14,15,36,0,,
Virus,Total,"Adenovirus
12","Humanbocavirus
6","Humanenterovirus∗
7","Human
metapneumovirus
7","Humanrhinovirus
87","InﬂuenzavirusA
3","InﬂuenzavirusB
2","InﬂuenzavirusC
12","Parainﬂuenzavirus1
16","Parainﬂuenzavirus2
21","Parainﬂuenzavirus3
50","Respiratorysyncytial
virus
1",∗Onlythe“trueHEV”positivespecimensareincluded.,
