0,1,2,3,4,5,6,7
Table 5 Mismatched primer extension with Mg2+ or Zn2+,,,,,,,
aCation,bBase,cVmax,d Km,Vmax/Km,eStandard,fRelative,gP-value
,pair,,,,extension,fidelity,
,,%/min,μM,,,,
,at the,,,,"efficiency, fext",,
,3′ end,,,,,,
hMg2+,C.G,21.4 ± 2.0,0.37 ± 0.13,57.8 ± 19.2,1,,
,G.C,39.9 ± 14.5,0.27 ± 0.13,147.8 ± 40.6,1,,
,C.T,22.5 ± 2.1,396 ± 28,5.7 (±0.9) x 10−2,9.9 (±1.7) x 10−4,,
,C.A,11.1 ± 2.9,445 ± 188,2.5 (±0. 57) x 10−2,4.3 (±0.94) x 10−4,,
,C.C,0.70 ± 0.29,77 ± 14,9.1 (±2.2) x 10−3,1.6 (±0.38) x 10−4,,
,G.T,18.6 ± 3.3,157 ± 44,0.12 ± 0.03,8.1 (±2.5) x10−4,,
,G.A,0.95 ± 0.04,196 ± 50,4.8 (±1.6) x 10−3,3.2 (±1.0) x 10−5,,
Zn2+,C.G,0.62 ± 0.23,0.04 ± 0.01,15.5 ± 5.8,1,1,
,G.C,0.39 ± 0.10,0.04 ± 0.01,9.8 ± 1.9,1,1,
,C.T,2.9 ± 1.0,591 ± 63,4.9 (±2. 3) x 10−3,3.2 (±1.6) x 10−4,3.1,0.026
,C.A,3.3 ± 1.0,1240 ± 186,2.7 (±1.3) x 10−3,1.7 (±0.75) x 10−4,2.5,0.029
,C.C,0.50 ± 0.14,914 ± 457,5.4 (±4.6) x 10−4,3.5 (±3.4) x 10−5,4.6,0.023
,G.T,6.8 ± 1.8,1223 ± 568,5.6 (±2.8) x 10−3,5.7 (±3.2) x 10−4,1.4,0.375
,G.A,N.D.,,,,,
aThe extension reactions were carried out in either 2 mM fee Mg2+ or 0.4 mM free Zn2+. Free cation concentration was calculated as described in Materials and,,,,,,,
