0,1,2,3,4,5,6,7,8,9
,"heterocycle-fused quinones (HetQs) on HeLa, Jurkat and Vero cell lines after 48 h.",,,,,,,,
,,,HeLa,,,Jurkat,,Vero,
Type,Compd.,,ATCC CRL-1958,,,ATCC TIB-152,,ATCC CCL-81,
,,IC50 ± SD,r2,SI,IC50 ± SD,r2,SI,IC50 ± SD,r2
,1,>104.0,na,nd,>104.0,na,na,nd,nd
,2,103.8 ± 3.8,0.9,1,6.2 ± 0.2,0.8,15,95.0 ± 2.1,0.9
,3,<19.5,na,>1,1.6 ± 0.1,0.7,8,12.8 ± 2.0,0.8
,4,46.6 ± 3.3,1.0,14,36.3 ± 2.0,0.9,18,≥642.7,na
NQs,5,19.7 ± 0.3,1.0,1,23.5 ± 1.7,0.7,1,15.7 ± 2.7,0.8
,6,34.7 ± 3.2,0.8,2,47.5 ± 0.2,1.0,1,>62.8,na
,7,≤15.7,na,≥5,12.0 ± 1.8,0.8,6,73.2 ± 0.9,0.7
,8,≤14.1,na,≥9,≤56.5,na,≥2,132.2 ± 11.2,0.9
,9,32.6 ± 0.8,1.0,5,14.5 ± 0.5,1.0,10,147.1 ± 9.8,0.8
,10,40.0 ± 1.1,0.9,10,48.0 ± 4.7,0.8,8,397.9 ± 6.1,0.9
,11,0.010 ± 0.001,1.0,13967,1.4 ± 0.1,1.0,168,231.9 ± 6.9,1.0
,12,38.5 ± 1.2,0.9,4,27.5 ± 0.6,0.9,5,136.5 ± 4.4,0.9
,13,>75.3,na,<1,6.3 ± 0.3,0.9,11,67.2 ± 1.3,0.7
AQs,14,>78.7,na,nd,>78.7,na,na,nd,nd
,15,>63.5,na,<2,12.4 ± 0.4,1.0,10,>126.9,na
,16,5.6 ± 0.4,0.9,32,12.4 ± 0.4,1.0,14,179.3 ± 12.9,0.7
,17,7.5 ± 0.6,0.9,16,9.6 ± 0.4,0.9,12,118.6 ± 15.9,0.8
,18,≤13.7,na,≥2,10.1 ± 0.8,0.9,2,24.3 ± 3.8,0.9
,19,77.0 ± 1.9,1.0,3,>72.4,na,<3,212.5 ± 8.6,0.7
,20,>69.3,na,<2,42.2 ± 0.7,0.7,4,153.1 ± 4.5,1.0
,21,>69.9,na,nd,>69.9,na,na,nd,nd
,22,73.0 ± 1.6,1.0,3,71.7 ± 1.8,1.0,3,183.1 ± 15.9,0.7
HetQs,23,15.5 ± 1.1,0.8,2,13.5 ± 0.7,0.9,3,36.0 ± 1.5,0.9
,24,55.9 ± 2.0,0.9,5,24.3 ± 1.5,0.9,12,282.0 ± 28.2,0.5
,25,>70.5,na,<4,13.8 ± 0.4,1.0,20,269.5 ± 5.7,1.0
,26,77.5 ± 3.6,0.9,2,43.6 ± 1.2,1.0,4,182.7 ± 16.3,0.7
,27,57.1 ± 2.2,1.0,3,16.6 ± 0.9,0.9,12,197.3 ± 25.7,0.6
,Doxorubicin 0.9 ± 0.1,,0.9,2.2,0.10 ± 0.01,0.7,22,2.0±0.1,0.8
,"HeLa: Human cervix epithelial carcinoma, ATCC CRL-1958; Jurkat: human acute T cell leukemia, ATCC TIB-152;",,,,,,,,
