0,1,2,3,4,5,6
TABLe 2 | Histopathologic scoring of trachea.,,,,,,
group,n,Cilia loss,Degeneration,Infiltration in,hyperemia and/or,Total score
,,,and necrosis of,submucosal layer,hemorrhage,
,,,epithelium,,,
IBV,6,3.9 ± 0.3,3.9 ± 0.2,1.8 ± 0.3,0.8 ± 0.2,10.4 ± 0.6
NC,6,0.1 ± 0.1,0.1 ± 0.1,1.2 ± 0.2,0.8 ± 0.2,2.2 ± 0.2**
RT,6,1.9 ± 0.2,0.8 ± 0.2,1.6 ± 0.3,1.7 ± 0.3,6.0 ± 0.4**
HPE-TL,6,3.2 ± 0.3,3.1 ± 0.2,2.7 ± 0.3,0.8 ± 0.3,9.8 ± 0.5
HPE-TM,6,1.7 ± 0.2,1.8 ± 0.3,1.5 ± 0.3,0.8 ± 0.2,5.8 ± 0.4**
HPE-TH,6,1.6 ± 0.3,0.7 ± 0.3,0.9 ± 0.2,0.7 ± 0.3,3.9 ± 0.4**
The difference was considered highly significant at **p < 0.01 vs. IBV infection group.,,,,,,
