0,1,2,3,4,5,6,7
,"Table III. Correlations between FEV1%, FEV1/FVC% and FEF25/75% of predicted with age (years) and smoking histo-",,,,,,
ry (pack years),,,,,,,
Parameter,,Group 1,,Group 2,,,Group 3
,,Age [years],"Smoking history
Age [years]",,Smoking history,,Age [years] Smoking history
FEV1%,r,–0.3,"(a)
–0.2",,0.2,–0.3,–0.3
,Sig. (2-tailed),NS,NS,,NS,< 0.05,< 0.01
FEV1/,r,0.2,–0.2,,0.3,–0.4,–0.4
FVC%,,,,,,,
,Sig. (2-tailed),NS,NS,,NS,< 0.005,< 0.005
FEF,r,0.05,–0.2,,0.005,–0.3,–0.2
25/75%,,,,,,,
,Sig. (2-tailed),NS,NS,,NS,< 0.05,NS
"(a) Cannot be calculated, smoking history is zero; group 1 – non-smokers, group 2 – resistant smokers, group 3 – COPD",,,,,,,
