0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,UK Influenza Burden by Vaccination Status,
"Table 2. Percentage of patients with a vaccination record each year, by risk group.",,,,,,,,,,
Year,All,Respiratory,Central,Diabetes,Chronic,Liver,Renal,Compromised,Age 65,Not high risk
,High,,Nervous,,Heart,Disease,Disease,Immune System,+ years,and aged <65
,Risk,,System,,Disease,,,,,years
2001,43.6%,40.5%,40.7%,55.7%,49.2%,32.8%,54.8%,52.6%,65.4%,14.3%
2002,48.2%,43.1%,44.8%,60.5%,52.2%,35.3%,58.9%,55.8%,70.9%,15.0%
2003,51.5%,47.6%,48.4%,67.3%,57.7%,35.3%,65.3%,59.9%,76.0%,15.3%
2004,55.9%,51.1%,52.4%,74.3%,61.1%,40.0%,68.4%,67.1%,79.4%,15.3%
2005,61.4%,53.2%,54.5%,80.5%,67.5%,47.7%,72.6%,73.3%,84.5%,17.4%
2006,58.1%,64.7%,50.5%,77.8%,64.7%,50.0%,70.4%,66.4%,81.3%,15.0%
2007,59.1%,51.3%,54.2%,80.2%,65.6%,52.2%,72.3%,69.9%,80.3%,14.8%
2008,59.4%,51.6%,55.8%,79.2%,65.7%,53.7%,74.8%,71.3%,78.4%,15.0%
2009,61.2%,54.0%,56.0%,80.2%,67.6%,62.5%,77.6%,68.8%,75.9%,18.3%
,doi:10.1371/journal.pone.0134928.t002,,,,,,,,,
