0,1,2,3,4,5
,,Table 1. Cont.,,,
Antibody,Company *,Target,Indication,Source,Approval *
Citatuzumab bogatox,,,,HUMANIZED Fab,
,,TACSTD1,"Ovarian cancer, solid tumors",,Pre-clinical trials
VB6-845,,,,fragment-bouganin,
Cixutumumab,Imclone Systems,IGF-1 receptor,Solid tumors,HUMAN,Clinical trials
,,,,CHIMERIC,
Clenoliximab,,CD4,Rheumatoid arthritis,,
,,,,(primate/human),
Clivatuzumab,,,,,
tetraxetan yttrium,Immunomedics Inc.,MUC1,Pancreatic cancer,HUMANIZED,Phase II Clinical trials
(90 Y),,,,,
,,"TNFRSF10B,",,,
Conatumumab,,,,,
,Amgen,TRAIL-R2,Solid tumors,HUMAN,Clinical trials
(AMG-655),,,,,
,,(CD262),,,
,,Influenza A,,,
CR6261,"The Scripps Research Institute, Crucell",,Influenza virus infection,HUMAN,Preclinical trials
,,hemagglutinin,,,
,,,Non- Hodgkin´s lymphoma,,
Dacetuzumab,,,,,
,Seattle Genetics,CD40,and hematological,HUMANIZED,Clinical trials
(SGN 40 or huS2C6),,,,,
,,,malignancies,,
Daclizumab,,CD25 (IL-2,Refractory unstable angina.,,FDA 1997
,Hoffman-La Roche,,,HUMANIZED,
(Zenapax®),,receptor),Allograft rejection,,EMEA 1999
Daratumumab,Genmab,CD38,Multiple myeloma,HUMAN,Clinical trials
Denosumab,,,Postmenopausal,,FDA 2010
,"XGEVA, Amgen",RANKL,,HUMAN,
XGEVA (Prolia®),,,osteoporosis,,EMEA 2010
Detumomab,?,B cell lymphoma,B cell lymphoma,MOUSE,?
Ecromeximab,,,,,Phase I/II Clinical
,"Kyowa Hakko Kogyo Co., Ludwig Institute for Cancer Research",GD3 ganglioside,melanoma,CHIMERIC (mouse/human),
(KW2871),,,,,trials
Eculizumab,,C5,paroxysmal nocturnal,,FDA 2007
,Alexion Pharmaceuticals,,,HUMANIZED,
(Soliris®),,Complement factor,hemoglobinuria,,EMEA 2007
