0,1,2,3,4,5,6,7,8,9,10
10 1,,,,,,,,,,
,,,,,10 1,,,,10 1,
10 0,,,,,10 0,,,,10 0,
,,+ / +,,,,"-/-
+ / +",,,+ / +,-/-
,,-/-,"WT
KO",,,WT,KO,,,"WT
KO"
,c r 5,c r 5,,,c r 5,c r 5,,,"c r 5
c r 5",
,,,,,C,C,,,C,
,C,C,,,,,Treg,,C,
,,,Treg,,,,,,,Treg
e,,,,,,,,,,
0.6,,,,1.5,,,5.0,,,
,,,,,,,,,ns,"0.6
*"
,,,,,,**,,**,,
0.5,,,,,,,,,,0.5
,,,,1.2,,,4.0,,,
,,,,,,,,,,ns
,,,,,**,,,,,
0.4,,,,-actin,,,-actin,,,"-actin
0.4"
-actin,,,,0.9,,,3.0,,,
0.3,,,,β,,,β,,,
β,,,,,,,,,,"ββ
/
0.3"
IL-6/,,,,"IL-10/
0.6",,,"IL-17/
2.0",,,
0.2,,,,,,,,,,"TGF-
0.2"
,,,,0.3,,,1.0,,,
0.1,,,,,,,,,,0.1
0.0,,,,0.0,,,0.0,,,0.0
,+ / +,-/-,,,"-/-
+ / +",,,+ / +,-/-,"-/-
+ / +"
,,,"WT
KO",,,"WT
KO",,,"WT
KO","WT
KO"
,c r 5,c r 5,,,"c r 5
c r 5",,,"c r 5
c r 5",,"c r 5
c r 5"
