0,1,2,3,4,5,6
,Table 5 The relative change of mortality rate of HIV and AIDS in each age group in China from 2004 to 2014,,,,,
age group,Mortality in 2004,Mortality rate in 2004 (/10^5),OR,95%CI,,P value
Male,,,,,,
1 to 4,3,0.0505,1.05,1.03,1.07,< 0.001
5 to 9,5,0.0080,1.10,1.08,1.12,< 0.001
10 to 14,4,0.0061,1.17,1.15,1.18,< 0.001
15 to 19,4,0.0076,1.19,1.16,1.22,< 0.001
20 to 24,21,0.0438,0.98,0.97,1.00,0.072
25 to 29,70,0.1162,1.02,1.00,1.04,0.033
30 to 34,106,0.1622,1.04,1.03,1.06,< 0.001
35 to 39,102,0.1817,1.08,1.06,1.10,< 0.001
40 to 44,82,0.1941,1.09,1.07,1.11,< 0.001
45 to 49,36,0.0819,1.08,1.05,1.11,< 0.001
50 to 54,31,0.0945,1.08,1.06,1.11,< 0.001
55 to 59,22,0.0914,1.07,1.04,1.10,< 0.001
60 to 64,14,0.0655,1.07,1.05,1.10,< 0.001
65 to 69,8,0.0456,1.07,1.05,1.10,< 0.001
70 to 74,5,0.0402,1.07,1.04,1.10,< 0.001
75 to 79,0,0,1.07,1.04,1.09,< 0.001
80 plus,0,0,1.08,1.05,1.11,< 0.001
Female,,,,,,
1 to 4,3,0.0096,1.05,1.03,1.07,< 0.001
5 to 9,2,0.0048,1.10,1.09,1.12,< 0.001
10 to 14,4,0.0067,1.17,1.15,1.18,< 0.001
15 to 19,4,0.0080,1.17,1.13,1.21,< 0.001
20 to 24,14,0.0300,0.99,0.97,1.01,0.3653
25 to 29,36,0.0628,1.03,1.01,1.06,0.006
30 to 34,46,0.0743,1.06,1.04,1.08,< 0.001
35 to 39,48,0.0906,1.09,1.07,1.12,< 0.001
40 to 44,20,0.0513,1.10,1.07,1.13,< 0.001
45 to 49,16,0.0385,1.09,1.05,1.12,< 0.001
50 to 54,20,0.0656,1.09,1.05,1.12,< 0.001
55 to 59,7,0.0313,1.06,1.02,1.11,0.010
60 to 64,5,0.0250,1.07,1.03,1.11,0.003
65 to 69,1,0.0058,1.08,1.04,1.12,0.002
70 to 74,1,0.0076,1.08,1.03,1.12,0.003
75 to 79,0,0,1.08,1.04,1.12,0.002
80 plus,0,0,1.08,1.04,1.12,0.002
