0,1,2,3,4,5,6,7,8,9,10
,P = 0.038,P = 0.105,,P < 0.001,,,,P < 0.001,P = 0.053,P < 0.001
200.0,,,,,,,100.0,,,
,,26,,,,,,,,
,,⋆,,,,,90.0,,,
,,,,57,,,80.0,,,107
150.0,,,,∘,,,,,,
,,,,,,,,,,"∘∘
99"
,,,,,,,70.0,,,
,,,,,,,,,,116
,,,,,,,,,,⋆
,"92
2
4⋆",,,,,,60.0,,,
,,,,62,,,,,,
,,,,⋆,,,,,,
Fit factor,17,,,,,,,22,,
100.0,⋆ ⋆⋆,,,,,Success rate (percent),50.0,∘,,97
,12,,,,,,,,,⋆
,,,,,,,,21,,
,,,65,,51,,40.0,∘,,
,,,,,,,,⋆,,
,,,,⋆⋆⋆,,,,17,,
,,,,,52,,30.0,,26,
,,,,,,,,4,⋆,52
50.0,,,,,,,,"⋆
⋆",,
,,,,,,,20.0,12,,∘ ∘
,,,,,,,,,,65
,,,,,,,10.0,,,
,,,,,,,,,,51
0.0,,,,,,,0.0,,,⋆
