0,1,2,3,4,5,6,7,8,9,10
,4 2,,,,,4 2,,,,
4 2,,,,,,,,,,
"D
E",,,,,,F,,,,
PRRSV titration in plasma at 7 dpc,,RNA copies in BAL fluid,,,,,PRRSV titration in BAL fluid,,,
10 9,,,,,,1000,,,,
,,4/4,,,,,,,,
,,,,,4/4,,,,,
** **,,,,,,,,,,1/5
"10 8
600",,,,,,,,,1/4,
,,,,3/4,,,,,,
**,,,4/4,,2/4,2/5,,,,
10 7,,,,,,100,,,,2/4
"RNA copies/mL
10 6
* *",,,,,,TCID50/mL,,,,
,,,,,,,,,,
400,,,,,,,,,,
"TCID50/mL
*
10 5",,,,,,10,,,,
10 4,,,,,,,,,,
,,,,,,,,,,"0/4
0/4
0/4"
200,,,,,,,,,,
10 3,,,,,,1,,,,
,,S,,,,,,,S,
,B,,,G IM,G IN,,,B,,"G IN
G IM"
,,,,,,,,,,
,P,,L V-IM,,,,P,,,L V-IM
