0,1,2,3,4,5,6,7,8
,,Mean (days),,95th percentile (days),,99th percentile (days),,
Distribution,Estimate,95% CrI1,Estimate,95% CI1,Estimate,95% CI1,BIC,DIC
South Korea (n =  115),,,,,,,,
Gamma,6.9,(6.3–7.5),12.7,(11.5–14.4),16.1,(14.3–18.7),418,412
Weibull,6.9,(6.3–7.5),12.2,(11.2–13.5),14.5,(13.2–16.4),418,412
Lognormal,7.0,(6.3–7.7),13.7,(11.9–16.1),19.0,(16.0–23.3),423,417
Log-logistic,7.2,(6.5–8.0),14.2,(12.3–16.9),22.3,(18.3–28.5),425,419
Exponential,6.8,(5.7–8.2),20.4,(17.1–24.5),31.3,(26.3–37.6),505,498
Saudi Arabia (n =  34),,,,,,,,
Lognormal,5.0,(4.0–6.6),11.4,(8.5–17.5),17.5,(12.0–30.6),124,121
Log-logistic,5.1,(4.1–6.8),11.2,(8.1–17.7),19.6,(12.3–38.3),124,121
Gamma,4.9,(4.0–6.0),10.0,(8.0–13.3),13.3,(10.3–18.6),125,122
Weibull,5.0,(4.0–6.2),10.7,(8.7–14.5),13.8,(10.9–20.0),127,124
Exponential,4.6,(3.4–6.6),13.9,(10.3–19.7),21.4,(15.9–30.3),137,132
