0,1,2,3,4,5,6,7,8,9
,Table 3.,Inpatient Visits in Relation to Air Pollutants by Different Age Groups.,,,,,,,
PLOS ONE,,Inpatient visitsa,,,,,,,
,,Age group,,,,,,,
,,0–18,,19–44,,45–64,,$65,
| www.plosone.org,Variables,RR,95%CI,RR,95%CI,RR,95%CI,RR,95%CI
,Men/women,1.86,1.67–2.07,0.98,0.83–1.16,0.82,0.66–1.01,1.14,0.96–1.34
,Year,1.34,1.28–1.39,1.22,1.17–1.27,1.12,1.08–1.15,1.15,1.10–1.20
,CO (ppm),,,,,,,,
,0.19–0.43,-,,-,,-,,-,
,0.43–0.55,1.70,1.40–2.06,1.08,0.83–1.40,1.17,0.92–1.49,1.28,0.98–1.66
,0.55–0.69,1.92,1.53–2.40,1.07,0.81–1.42,1.18,0.90–1.55,1.35,0.93–1.97
,0.69–1.22,1.86,1.39–2.48,0.94,0.64–1.38,1.21,0.87–1.68,1.42,0.94–2.15
,P-Trend,0.0001,,0.856,,0.343,,0.106,
,NO2 (ppm),,,,,,,,
,4.45–14.01,-,,-,,-,,-,
,14.01–18.64,0.85,0.70–1.03,0.86,0.65–1.13,0.85,0.68–1.07,1.09,0.85–1.40
,18.64–24.04,0.85,0.66–1.08,1.08,0.75–1.55,1.09,0.83–1.44,1.22,0.85–1.76
,24.04–47.84,0.90,0.67–1.20,1.33,0.92–1.94,1.08,0.76–1.53,1.17,0.77–1.76
5,,,,,,,,,
,P-Trend,0.615,,0.068,,0.447,,0.434,
,O3 (ppm),,,,,,,,
,14.23–23.83,-,,-,,-,,-,
,23.83–27.23,0.86,0.74–0.99,1.02,0.90–1.16,1.00,0.81–1.23,1.14,0.99–1.31
,27.23–30.80,0.87,0.74–1.02,1.08,0.87–1.32,1.13,0.88–1.44,1.18,1.01–1.39
,30.80–50.00,0.83,0.66–1.05,1.04,0.79–1.35,1.06,0.80–1.40,1.20,0.99–1.45
,P-Trend,0.136,,0.548,,0.450,,0.070,
,PM10 (mg/m3),,,,,,,,
,23.00–43.67,-,,-,,-,,-,
,43.67–54.00,0.84,0.73–0.97,1.04,0.83–1.30,0.82,0.69–0.97,0.89,0.74–1.07
,54.00–71.00,0.97,0.83–1.13,1.25,0.96–1.63,1.01,0.82–1.22,1.00,0.81–1.23
,71.00–141.67,0.89,0.71–1.12,1.05,0.77–1.44,1.04,0.78–1.37,0.93,0.70–1.23
May 2014 | Volume 9 |,P-Trend,0.757,,0.336,,0.393,,0.900,
,SO2 (ppm),,,,,,,,
,0.20–2.80,-,,-,,-,,-,
,2.80–3.77,0.95,0.77–1.18,1.13,0.83–1.52,0.90,0.69–1.17,0.95,0.72–1.26
Issue 5 |,3.77–5.00,1.03,0.79–1.33,1.26,0.96–1.65,0.91,0.70–1.19,1.00,0.76–1.31
,5.00–19.17,0.82,0.63–1.07,0.96,0.71–1.29,0.81,0.61–1.08,0.78,0.57–1.05
e96190,P-Trend,0.369,,0.882,,0.204,,0.223,
