0,1,2,3,4,5
"Table 1.
(Continued)",,,,,
Simpliﬁed,English translation*,Chinese keyword used,Notes / References,,
Chinese,,to search Weibo posts,,,
31. 疟疾,Malaria,疟疾,,,
丙类传染病,Class C,,,,
32. 流行性感冒,Inﬂuenza,"流行性感冒, 流感",We use both the full,term (流行性感冒) and its short,form (流感) for
,,,keyword search.,,
33. 流行性腮腺,Mumps,腮腺炎,,,
炎,,,,,
34. 风疹,Rubella,风疹,,,
35. 急性出血性,Acute hemorrhagic,结膜炎,,,
结膜炎,conjunctivitis,,,,
36. 麻风病,Leprosy,麻风,,,
37. 斑疹伤寒,Typhus,斑疹伤寒,,,
38. 黑热病,Leishmaniasis,黑热病,,,
39. 包虫病,Echinococciosis,包虫病,,,
40. 丝虫病,Filariasis,丝虫病,,,
41. 其它感染性,Other infectious diarrheal,腹泻,,,
腹泻病,diseases,,,,
42.手足口病,"Hand,
foot and mouth disease",手足口病,,,
