0,1,2,3,4,5,6,7,8
T A B L E 5,(Continued),,,,,,,
,,Single infection,,Double infection,,Multiple infection,,
,Socio‐demographic data,,,,,,,Ordinal regression
Infection / Statistics,,"No.
(%)","P value**
OR [95% CI]","No.
(%)","P value**
OR [95% CI]","No.
(%)
P value**",OR [95% CI],P value***
AdV,No,"–
184 (96.3)",–,"<0.001
116 (71.6)",1,"<0.001
57 (59.4)",1,<0.001
,Yes*,7 (3.7),–,46 (28.4),0.64 [0.57‐0.7],39 (40.6),47.9 [6.38‐359.4],
BoV,No,"–
187 (97.9)",–,"0.02
150 (92.6)",1,"<0.001
75 (78.1)",1,<0.001
,Yes*,4 (2.1),–,12 (7.4),0.69 [0.6‐0.7],21 (21.9),0.51 [0.43‐0.60],
RSV A/B,No,136 (71.2),"<0.001
1","<0.001
89 (54.9)",1,"<0.001
47 (49.0)",1,<0.001
,Yes*,55 (28.8),0.66 [0.6‐0.07],73 (45.1),0.58 [0.50‐0.66],49 (51.0),72.9 [9.7‐546.8],
PeV,No,"–
191 (100.0)",–,"–
156 (96.3)",–,"<0.001
66 (68.8)",1,<0.001
,Yes*,0 (0.0),–,6 (3.7),–,30 (31.3),0.48 [0.40‐0.57],
EV,No,"–
188 (98.4)",–,"<0.01
147 (90.7)",1,"<0.01
84 (87.5)",1,<0.001
,Yes*,3 (1.6),–,15 (9.3),0.69 [0.63‐0.75],12 (12.5),0.54 [0.46‐0.62],
InfVsa,No,"–
190 (99.5)",–,"–
158 (97.5)",–,"–
92 (95.8)",–,N/A
,Yes,1 (0.5),–,4 (2.5),–,4 (4.2),–,
InfV‐Aa,No,"–
190 (99.5)",–,"–
161 (99.4)",–,"–
95 (99.0)",–,N/A
,Yes,1 (0.5),–,1 (0.6),–,1 (1.0),–,
InfV‐Ba,No,"–
191 (100.0)",–,"–
161 (99.4)",–,"–
96 (100.0)",–,N/A
,Yes,0 (0.0),–,1 (0.6),–,0 (0.0),–,
H1N1a,No,"–
191 (100.0)",–,"–
160 (98.8)",–,"–
93 (96.9)",–,N/A
,Yes,0 (0.0),–,2 (1.2),–,3 (3.1),–,
Total,,"–
191 (37.0)",–,"–
162 (31.4)",–,"–
96 (18.6)",–,–
,"Abbreviations: AdV, adenovirus; BoV, bocavirus; CoVs, coronavirus group; EV, enterovirus genus; G2, age group 2; G3, age group 3; HKU1, coronavirus HKU1; H1N1,",,,,,,,"influenza virus A (H1N1) swl;
InfVs,"
