0,1,2,3,4,5
Table 1.  Prevalence	of	parasites	in	dromedary	camel	(Camelus dromedarius)	and	fat-tailed,,,,,
"sheep	(Dhumba)	in	Dhaka,	Bangladesh,	2015.",,,,,
,,Camel (N = 55),,,Dhumba (N = 32)
Types of parasite,Name of parasites,,,,
,,Positive n (%),95% CI,Positive n (%),95% CI
Nematode,Trichuris spp.,16	(29.1),17.6–42.9,4	(12.5),3.5–28.9
,Trichostrongylus spp.,7	(12.7),5.3–24.5,10	(31.3),16.1–50.0
,Strongyloides spp.,5	(9.1),3.0–20.0,9	(28.1),13.8–46.8
Trematode,Paragonimus spp.,1	(1.8),0.05–9.7,-,-
,Schistosoma spp.,1	(1.8),0.05–9.7,-,-
Cestode,Hymenolepis spp.,1	(1.8),0.05–9.7,-,-
,Moniezia spp.,1	(1.8),0.05–9.7,-,-
Protozoa,B. coli,12	(21.8),11.8–35.0,5	(15.6),5.3–32.8
Hemoparasites,Anaplasma spp.,5	(9.1),3.02–20.0,-,-
,Babesia spp.,1	(1.8),0.05–9.7,-,-
Mixed	infection,,8	(14.6),6.5–26.7,-,-
