0,1,2,3,4,5,6,7,8,9,10,11
"Table 1 miRNAs differentially expressed in H1N1 and H5N1 infected NCI-H292 cells at different time points, respectively",,,,,,,,,,,
"A) MiRNAs differentially expressed in cells infected with H1N1 influenza A virus at 3, 6, 18, and 24 hours post-infection, respectively",,,,,,,,,,,
3-hour,Fold-change,Regulation,6-hour,Fold-change,Regulation,18-hour,Fold-change,Regulation,24-hour,Fold-change,Regulation
hsa-miR-141,1.51,up,hsa-miR-663,1.59,up,hsa-miR-188-5p,1.57,up,hsa-miR-1260,1.58,up
hsa-miR-23a,2,down,hsa-miR-15a*,1.61,down,hsa-miR-1260,1.77,down,hsa-miR-1274a,1.66,up
hsa-miR-574-3p,2.83,down,hsa-miR-1825,1.51,down,hsa-miR-1274a,1.86,down,hsa-miR-1274b,1.91,up
hsa-miR-574-5p,2.99,down,hsa-miR-183*,1.71,down,hsa-miR-1274b,1.69,down,hsa-miR-141,1.51,up
,,,hsa-miR-34b,1.52,down,hsa-miR-141,1.66,down,hsa-miR-183*,1.54,up
,,,hsa-miR-494,1.56,down,hsa-miR-17*,1.927,down,hsa-miR-18b,1.64,up
,,,hsa-miR-574-5p,1.74,down,hsa-miR-21*,1.71,down,hsa-miR-19a,1.52,up
,,,,,,,,,hsa-miR-21*,1.7,up
,,,,,,,,,hsa-miR-301a,1.53,up
,,,,,,,,,hsa-miR-572,1.5,up
,,,,,,,,,hsa-miR-720,1.99,up
,,,,,,,,,hsa-miR-939,1.51,up
,,,,,,,,,hsa-miR-181c*,1.53,down
,"B) MiRNAs differentially expressed in cells infected with H5N1 influenza A virus at 3, 6, 18, and 24 hours post-infection, respectively.",,,,,,,,,,
has-miR-141,1.9,up,hsa-miR-483-3p,3.06,up,hsa-miR-188-5p,2.01,up,hsa-miR-1181,2.6,up
hsa-miR-181c*,1.8,up,hsa-miR-let-7b*,2.02,up,hsa-miR-923,3.39,up,hsa-miR-1207-5p,2.7,up
hsa-miR-210,1.5,up,hsa-miR-126,2.2,down,hsa-miR-1260,3.11,down,hsa-miR-1224-5p,2.02,up
hsa-miR-29b,1.62,up,hsa-miR-20a*,2.42,down,hsa-miR-1274a,3.57,down,hsa-miR-1225-5p,2.44,up
hsa-miR-324-5p,1.759,up,hsa-miR-362-5p,2.6,down,hsa-miR-1274b,4.61,down,hsa-miR-1246,4.39,up
hsa-miR-663,2.01,up,hsa-miR-378,2.16,down,hsa-miR-141,3.2,down,hsa-miR-134,2.78,up
hsa-miR-197,1.64,down,hsa-miR-454,2.32,down,hsa-miR-18a,2.15,down,hsa-miR-188-5p,2.49,up
hsa-miR-339-3p,1.925,down,hsa-miR-574-5p,2.02,down,hsa-miR-18b,3.34,down,hsa-miR-1915,2.84,up
hsa-miR-574-3p,1.77,down,,,,hsa-miR-19a,2.32,down,hsa-miR-572,2.92,up
hsa-miR-574-5p,2.41,down,,,,hsa-miR-21*,3.23,down,hsa-miR-574-3p,3.75,up
,,,,,,hsa-miR-301a,2.32,down,hsa-miR-574-5p,2.083,up
,,,,,,hsa-miR-30e,2.24,down,hsa-miR-629*,2.85,up
,,,,,,hsa-miR-720,3.39,down,hsa-miR-638,2.19,up
,,,,,,,,,hsa-miR-663,4.52,up
,,,,,,,,,hsa-miR-939,2.32,up
,,,,,,,,,hsa-miR-100*,3.47,down
,,,,,,,,,hsa-miR-1260,3.09,down
,,,,,,,,,hsa-miR-1280,3.01,down
