0,1,2
Table 3. Univariate and multivariate analysis of risk factors for active TB,,
Variables,Crude HR (95% CI),Adjusted HRa (95% CI)
Dialysis,,
No,1.00,1.00
Yes,4.47 (3.67–5.45),4.39 (3.60–5.37)
Gender,,
Men,1.00,1.00
Women,0.85 (0.72–1.01),0.86 (0.73–1.01)
"Age, yr",,
0–29,1.00,1.00
30–39,0.87 (0.52–1.44),0.79 (0.48–1.31)
40–49,1.09 (0.70–1.71),1.01 (0.65–1.59)
50–59,1.04 (0.67–1.62),1.05 (0.67–1.64)
60–69,0.86 (0.56–1.34),0.96 (0.61–1.51)
70–79,0.80 (0.50–1.26),0.95 (0.59–1.52)
≥ 80,0.49 (0.25–0.97),0.61 (0.30–1.22)
Income level,,
Low,1.00,1.00
Middle,0.81 (0.67–0.98),0.92 (0.76–1.13)
High,0.75 (0.62–0.92),0.89 (0.72–1.10)
Comorbidities,,
DM,0.88 (0.73–1.05),1.01 (0.83–1.22)
Malignancy,0.85 (0.71–1.01),1.00 (0.83–1.21)
COPD,0.81 (0.60–1.10),0.94 (0.69–1.28)
HIV infection,1.50 (0.21–10.64),1.40 (0.20–9.97)
Silicosis,1.69 (0.24–12.03),1.69 (0.24–12.08)
,"TB = tuberculosis, HR = hazard ratio, CI = confidence interval, DM = diabetes mellitus, COPD = chronic obstructive",
