0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Table 1. Summary of clinical characteristics of patients infected with inﬂuenza C virus.,,,,,,,,,,
,,,Median,,,,,,,,,,
Manuscript,Location,Age Range,,N,Hospitalized,Fever (%),Rhinorrhea/Rhinitis,Cough,Wheeze,Headache,Diarrhea,,Vomiting Lower Resp
,,,Age (yrs),,,,,,,,,,
"Moriuchi et al., 1991 [12]",Japan,2 m to 11 y,1 yr,20,-,16 (80),5 (25),15 (75),1 (5),-,3 (15),3 (15),5 (25)
"Matsuzaki et al., 2006 [1]",Japan,<1 to 13 y,-,170,29 (17),153 (90),105 (62),126 (74),21 (12),10 (6),17 (10),24 (14),-
"Gouarin et al., 2008 * [101]",France,4 m to 74 y,-,18,12 (67),13 (93),8 (57),10 (71),2 (14),-,4 (29),5 (36),-
"Anton et al., 2011 [104]",Spain,1 to 60 y,20.5,12,-,10 (83),-,10 (83),-,4 (33),-,-,-
,France; Reunion,,,,,,,,,,,,
"Salez et al., 2014 [77]",,<1 to 49 y,3.2,12,-,9 (75),5 (42),7 (58),-,-,-,-,4 (33)
,Island; UK,,,,,,,,,,,,
"Howard et al., 2017 [63]",Peru,<3 y,-,39,-,24 (62),35 (90),34 (87),0,-,-,-,1 (3)
"Thielen et al., 2018 [103]",United States,<6 m to >18 y,1.7,70,59 (84),33 (47),29 (41),42 (60),16 (23),6 (9),8 (11),20 (29),.
,,,,* 14 patients had available clinical information; - = not reported,,,,,,,,,
