0,1,2,3,4,5,6,7,8,9,10
Table 5,Study assessments—qualitative studies.,,,,,,,,,
Authors,Aims,Qualitative,Design,Recruitment,Data,Relationship,Ethical issues,Data analysis,Findings,Overall
(year),clearly,method,appropriate,strategy,collected,between,considered?,sufficiently,clearly,quality
,stated?,appropriate?,to address,appropriate?,so as to,researcher &,,rigorous?,stated?,rating
,,,aims?,,address,participants,,,,
,,,,,research,adequately,,,,
,,,,,issue?,considered?,,,,
"Adams,",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Strong
Shakespeare-Finch,,,,,,,,,,
& Armstrong,,,,,,,,,,
(2015),,,,,,,,,,
Coxon et al. (2016),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Strong
"Forslund, Kihlgren",Yes,Yes,Can’t Tell,Yes,Yes,No,No,No,No,Weak
& Kihlgren (2004),,,,,,,,,,
Gallagher &,Yes,Yes,Yes,Can’t tell,Yes,No,Can’t tell,No,Yes,Moderate
McGilloway (2008),,,,,,,,,,
Palmer (2014),Yes,Yes,Yes,Yes,Yes,No,Yes,Can’t Tell,Yes,Moderate
Shuler & Sypher,Yes,Yes,Yes,Can’t tell,Yes,No,Can’t tell,Yes,Yes,Moderate
(2000),,,,,,,,,,
Tracy & Tracy,Yes,Yes,Yes,Can’t tell,Yes,Can’t tell,Can’t tell,Yes,Yes,Moderate
(1998),,,,,,,,,,
