0,1,2,3,4,5,6
Table 2 Common applications of aerosol therapy in intensive carea,,,,,,
,Drug class,,,,,
Feature,Bronchodilators,Anti-inflammatory,,Antimicrobial agents,Vasoactive,Heliox
,,,,,agents,
Indications,Bronchospasm (e.g. acute,,Airway inflammation (e.g. acute,MDR tracheobronchitis MDR,Right ventricular,Asthma
,"asthma, COPD exacerbation)",,"asthma or COPD exacerbation,",pneumonia,failure,
,,acute interstitial,lung disease),,,
,,,,Aspergillus prevention (lung transplant),Pulmonary,
,,,,,hypertension,
Site of action,Airways,Airways or alveoli,,Airways or alveoli,Alveoli,Airways
Preferred device,pMDI with spacer,pMDI with spacer,,VMN,VMN,
Drugs,Beta-agonists,Budesonide,,"Antibiotics (e.g. tobramycin, colistin,",Epoprostenol,Helium
,"(e.g. salbutamol, salmeterol)",,,"amikacin, ceftazidime, amphotericin B)",,
,Anticholinergics,Fluticasone,,,Iloprost,
,"(e.g.
ipratropium, tiotropium)",,,,,
Formulations,Yes,Yes,,Some,Yes,
available,,,,,,
