0,1,2,3,4,5,6,7,8
,Table 2. Summary of genetic variation and haplotype frequencies across seven populations of crested,,,,,,,
ibis.,,,,,,,,
Population,Wild,YX,LGT,DQ,BJ,SD,HN,Total
Sample size (MHC/microsatellite),8/8,54/65,48/50,45/45,35/35,18/18,86/86,294/307
Homozygote 1,5,34,34,23,27,9,45,177
Heterozygote 2,3,20,14,22,8,9,41,117
HT01,6.3,7.4,5.2,10.0,0.0,0.0,0.0,3.9
HT02,43.8,28.7,44.8,51.1,14.3,25.0,28.5,33.2
HT03,25.0,26.9,21.9,18.9,60.0,36.1,32.0,30.8
HT04,12.5,19.4,15.6,6.7,2.9,22.2,32.0,18.5
Haplotype,,,,,,,,
"HT05
MHC",12.5,17.6,11.5,12.2,8.6,5.6,1.2,9.0
frequency,,,,,,,,
HT06,0.0,0.0,1.0,1.1,0.0,0.0,0.0,0.3
(%),,,,,,,,
HT07,0.0,0.0,0.0,0.0,14.3,11.1,6.4,4.3
HTs02/06,43.8,28.7,45.8,52.2,14.3,25.0,28.5,33.5
HTs03/07,25.0,26.9,21.9,18.9,74.3,47.2,38.4,35.1
HTs04/05,25.0,37.0,27.1,18.9,11.5,27.8,33.2,27.5
HO,0.63,0.78,0.75,0.71,0.54*,0.78,0.81,0.71
HE,0.76,0.78,0.72,0.68,0.60,0.76,0.71,0.75
AR,5.00,4.67,4.59,4.60,4.09,4.61,3.84,4.78
HO,0.43,0.50,0.46,0.44,0.49,0.55,0.39,0.45
"Microsatellite
HE",0.49,0.45,0.44,0.43,0.46,0.47,0.37,0.44
AR,2.27,2.22,2.22,2.14,2.14,2.17,2.13,2.23
,"1 Homozygous at DAB and/or UAA; 2 Heterozygous at both DAB and UAA; AR, allelic richness; HE, expected",,,,,,,
