0,1,2,3,4,5,6,7
Season,Habitat,,Dry season,,,Wet season,
,,Bosque,Chacra,Purma,Bosque,Chacra,Purma
Species abundance distribution,,,,,,,
Dry,Bosque,—,< 0.001,< 0.001,< 0.001,< 0.001,< 0.001
,Chacra,153.5,—,< 0.001,< 0.001,< 0.001,< 0.001
,Purma,184.2,89.6,—,< 0.001,< 0.001,< 0.001
Wet,Bosque,53.3,94.7,142.5,—,< 0.001,< 0.001
,Chacra,165.0,81.7,93.1,136.9,—,< 0.001
,Purma,119.7,110.8,83.7,97.6,96.7,—
Rank abundance distribution,,,,,,,
Dry,Bosque,—,< 0.001,< 0.001,0.543,< 0.001,< 0.001
,Chacra,53.9,—,0.407,0.002,0.377,0.381
,Purma,81.6,20.9,—,< 0.001,0.973,0.429
Wet,Bosque,17.9,41.0,54.0,—,< 0.001,0.196
,Chacra,81.8,23.4,13.1,62.7,—,0.646
,Purma,49.6,23.4,22.5,27.0,20.3,—
