0,1,2,3,4,5,6,7
"Table 2 - Clinical data of coronaviruses-infected patients, 2001-2010.",,,,,,,
,,,Populations,,,,
Symptoms,Adults (%),HCW (%),Com children (%),Children heart (%),Renal TPL (%),SCTP (%),Hospitalized (%)
Fever,83.3,72.7,81.8,50.0,23.3,41.4,100.0
Cough,83.3,81.8,100.0,90.0,71.4,72.0,100.0
Wheezing,-,-,27.2,25.0,-,0,25.0
Cyanosis,-,-,0,5.0,-,0,0
Dyspnea,-,-,27.2,25.0,-,30.0,50.0
Coryza,100.0,90.9,100.0,90.0,86.6,81.3,25.0
Sore throat,33.3,81.8,0,0,28.5,15.0,25.0
Headache,100.0,100.0,0,0,46.4,18.9,25.0
Diarrhea,0,0,0,0,0,2.6,25.0
Myalgia,83.3,90.9,9.0,0,32.1,17.9,25.0
