0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,6,,,5 0,,0.0,,,,,,,,,,
,,,,"1
2","3
4
5
6",,1,2,3,4,5,6,"1
2","3
4
5
6",1,"2
3
4
5
6"
,"IFN-γ+CD8+ (% cells)
4",,,,100 µg/pig groups,,100 µg/pig groups,,,,,,,100 µg/pig groups,,100 µg/pig groups
500 µg/pig: group 6,,,,N,,O,,,,,,P,,,Q,
,2,,,,,,,,,,,,,,,
,,,,0.8,,,,,,*,,,0.3,,1.5,*
B,,,,,*,,,,,,,,,,,
,,,,,,,,,,,,,,*,,
,0,,,0.6,,,,,,,,,,,,
,,,,,,,,,,,,,0.2,,1.0,
,,"1
2
3
4
5
6","1
2
3
4
5
6","CD4+CD8-
IFN-γ+ (% cells)",,,,,,,,,,,,
,,,,0.4,,"CD4-CD8+
IFN-γ+ (% cells)
8 6 4 2 0",,,,,,CD4+CD8+,IFN-γ+ (% cells),,,
,,100 µg/pig groups,500 µg/pig groups,,,,,,,,,,,,γδ+IFN−γ+ (% cells),
% cells,E,,,,,,,,,,,,0.1,,0.5,
,,,,0.2,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,0.0,,0.0,
,,,,"1
2","3
4
5
6",,1,2,3,4,5,6,"1
2
3","4
5
6",1,"2
3
4
5
6"
"0
102
103
104
105",,,,,500 µg/pig groups,,,500 µg/pig groups,,,,,,500 µg/pig groups,,500 µg/pig groups
,2,,,,,,,,,,,,,,,
1. Mock,,,,R,,S,,,,,,T,,,U,
,IFN-γ+CD56+ (% cells),,,,,,,,,*,,,,,,
,,,,25,,1.5,,,,,,,15,,15,
2. Mock+Chal,,,,,,,,,,,,,,,,
,1,,,20,,,,,,,,,,*,,*
,,,,,,,,,,,,,,*,,*
3. KAg+Chal,,,,,,1.0,,,,,,,10,,10,
,,,,"CD56+ (% cells)
15",,"CD56+IFN-γ+
 (% cells)",,,,,,,,,,
,,,,10,,,,,,,,CD172+CD163+,SLA-II+ (% cells),,,
4. KAg+WCL+Chal,,,,,,0.5,,,,,,,5,,"CD172+CD11c+
SLA-II+ (% cells)
5",
,0,,,,,,,,,,,,,,,
5. NP-KAg+NP-WCL+Chal,,"1
2
3
4
5
6","1
2
3
4
5
6",5 0,,,,,,,,,,,,
,,,,,,0.0,,,,,,,0,,0,
