0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,L112–21,L112–21,L1114–125,L1104–115,L1114–125,L1411–421,L1414–425,L1460–470,L1461–471,L211–20,L211–20,L260–71,L2280–291,L2273–284,L2293–303,L2286–296
Area,(16),(18),(16),(18),(18),(16),(18),(16),(18),(16),(18),(18),(16),(18),(16),(18)
Central,,,,,,,,,,,,,,,,
,55.19%,55.19%,34.15%,22.23%,35.05%,40.96%,49.52%,34.22%,36.11%,42.77%,34.54%,24.31%,35.98%,37.81%,33.67%,34.62%
Africa,,,,,,,,,,,,,,,,
East Africa,54.55%,54.55%,39.30%,27.20%,36.15%,51.59%,54.39%,30.43%,32.11%,49.58%,42.87%,25.16%,36.61%,42.47%,36.72%,39.59%
East Asia,84.07%,84.07%,30.67%,26.13%,46.90%,86.10%,85.50%,81.17%,84.54%,54.35%,40.97%,36.22%,43.43%,42.51%,54.30%,46.27%
Europe,89.34%,89.34%,60.82%,55.22%,37.79%,88.70%,96.10%,76.80%,89.95%,80.93%,68.96%,63.88%,78.16%,77.28%,80.28%,64.53%
North,,,,,,,,,,,,,,,,
,68.64%,68.64%,37.64%,32.15%,69.17%,60.63%,69.98%,39.29%,57.62%,55.29%,46.79%,32.60%,46.71%,45.61%,45.63%,45.67%
Africa,,,,,,,,,,,,,,,,
North,,,,,,,,,,,,,,,,
,85.51%,85.51%,48.90%,43.94%,50.77%,83.68%,89.30%,65.12%,82.23%,73.49%,53.90%,44.74%,61.85%,61.35%,61.91%,62.58%
America,,,,,,,,,,,,,,,,
Northeast,,,,,,,,,,,,,,,,
,79.00%,79.00%,38.67%,23.45%,53.09%,70.67%,81.43%,76.55%,62.69%,69.49%,63.65%,57.63%,65.89%,66.78%,49.11%,63.87%
Asia,,,,,,,,,,,,,,,,
Oceania,84.82%,84.82%,50.06%,31.64%,60.43%,83.11%,92.01%,85.37%,78.07%,53.40%,51.71%,48.49%,71.38%,70.41%,56.81%,50.88%
South,,,,,,,,,,,,,,,,
,78.25%,78.25%,20.45%,25.76%,52.77%,63.18%,68.59%,43.70%,56.26%,46.21%,33.69%,30.33%,38.41%,37.14%,37.62%,33.33%
America,,,,,,,,,,,,,,,,
South Asia,72.15%,72.15%,34.84%,26.57%,25.66%,62.49%,77.44%,59.68%,51.83%,63.27%,65.43%,56.50%,61.15%,63.04%,49.59%,59.77%
Southeast,,,,,,,,,,,,,,,,
,78.86%,78.86%,53.56%,34.96%,61.28%,80.88%,81.80%,77.47%,72.71%,60.06%,51.86%,42.69%,65.29%,67.68%,51.02%,54.58%
Asia,,,,,,,,,,,,,,,,
Southwest,,,,,,,,,,,,,,,,
,70.47%,70.47%,31.98%,25.26%,52.05%,66.54%,78.02%,52.27%,63.36%,59.00%,50.51%,43.25%,53.69%,54.06%,49.32%,44.15%
Asia,,,,,,,,,,,,,,,,
West,,,,,,,,,,,,,,,,
,62.72%,62.72%,36.52%,30.77%,55.77%,52.15%,60.43%,36.13%,46.89%,50.41%,41.76%,28.75%,42.12%,44.16%,42.38%,45.54%
Africa,,,,,,,,,,,,,,,,
West,,,,,,,,,,,,,,,,
,77.79%,77.79%,47.01%,37.22%,53.81%,76.69%,85.20%,61.18%,75.51%,61.85%,49.30%,43.11%,62.31%,61.66%,62.60%,50.22%
Indies,,,,,,,,,,,,,,,,
World,84.71%,84.71%,49.45%,41.88%,59.28%,82.59%,90.87%,69.64%,81.88%,73.89%,60.46%,54.30%,67.72%,67.23%,66.33%,57.18%
