0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
In vivo transmission of,feline haemoplasma,,,,,,,,,,,,,
,,Cat5,Serology,(cid:2),(cid:2),(cid:2),(cid:2),+,Cat10,Serology,(cid:2),(cid:2),+,nt
,,,PCR,(cid:2),(cid:2),(cid:2),(cid:2),+,,PCR,(cid:2),(cid:2),+,nt
,inthegroupsandexperimentsdescribedinTableI.,Cat4,Serology,(cid:2),(cid:2),(cid:2),(cid:2),+,Cat9,Serology,(cid:2),(cid:2),+,nt
,,,PCR,(cid:2),(cid:2),(cid:2),(cid:2),+,,PCR,(cid:2),(cid:2),+,nt
,,Cat3,Serology,(cid:2),(cid:2),(cid:2),(cid:2),+,Cat8,Serology,(cid:2),(cid:2),+,nt
,,,PCR,(cid:2),(cid:2),(cid:2),(cid:2),+,,PCR,(cid:2),(cid:2),+,nt
,,Cat2,Serology,(cid:2),+,+,+,+,Cat7,Serology,(cid:2),(cid:2),(cid:2),+
,transmissionstudies(bloodreal-timePCRandserologyresults),,PCR,(cid:2),(cid:2),(cid:2),(cid:2),+,,PCR,(cid:2),(cid:2),(cid:2),(cid:2)
,,Cat1,Serology,(cid:2),(cid:2),(cid:2),(cid:2),+,Cat6,Serology,(cid:2),(cid:2),+,nt
,,,PCR,(cid:2),(cid:2),(cid:2),(cid:2),+,,PCR,(cid:2),(cid:2),+,nt
