0,1,2,3,4,5,6,7,8
August 2010 to July 2014,,,,,,,,
,,,,,,Parainfluenza Detections,,
,Patients Tested,PIV Positive,,,,,,
,for PIV,(1–3),PIV Negative,P Value,PIV-1,PIV-2,PIV-3,P Value
,7716 (100.0),619 (8.0),7097 (92.0),<0.0001,185 (29.7),162 (26.0),276 (44.3),<0.0001
Age group,,,,,,,,
<1 year,734 (9.5),64 (10.3),670 (9.4),<0.0001,17 (9.2),7 (4.3),40 (14.5),<0.0001
1-<2 years,980 (12.7),105 (17.0),875 (12.3),,24 (13.0),6 (3.7),76 (27.5),
2–4 years,1932 (25.1),221 (35.7),1711 (24.1),,75 (40.5),43 (26.5),105 (38.0),
5–17 years,4067 (52.7),229 (37.0),3838 (54.1),,69 (37.3),106 (65.4),55 (19.9),
Median age (years),6.2,4.7,6.3,<0.0001,4.5,7.0,3.4,<0.0001
Season,,,,,,,,
2010–11,2658 (34.5),187 (7.0),2471 (93.0),0.078,20 (10.7),54 (28.9),116 (62.0),<0.0001
2011–12,1950 (25.3),169 (8.7),1781 (91.3),,114 (67.5),22 (13.0),33 (19.5),
2012–13,2405 (31.2),211 (8.8),2194 (91.2),,24 (11.4),79 (37.4),109 (51.7),
2013–14,703 (9.1),52 (7.4),649 (92.6),,27 (51.9),7 (13.5),18 (34.6),
,Comparison of age distribution across,,"Odds ratio (95% CI) for a pediatric ILI patient in the <1, 1–2 or 2–4 age group to have a positive PIV",,,,,
