0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Table 4. Claims and conﬁrmed occupational diseases (ODs) of tuberculosis (TB) and latent TB infection,,,,,,,,,,,,,,
,(LTBI) from 1996 to 2017.,,,,,,,,,,,,,,
,,,TB,,,,,LTBI,,,,,All,,
,Claims,,,Conﬁrmed,,Claims,,,Conﬁrmed,,Claims,,,Conﬁrmed,
Year,,A,,,B,,A,,,B,,A,,,B
,(N),,,ODs (N),,(N),,,ODs (N),,(N),,,ODs (N),
1996,173,5.3,,43,1.3,-,,,,,173,5.3,,43,1.3
1997,201,6.4,,51,1.6,-,,,,,201,6.4,,51,1.6
1998,155,5.4,,48,1.7,-,,,,,155,5.4,,48,1.7
1999,124,4.4,,47,1.7,-,,,,,124,4.4,,47,1.7
2000,136,4.6,,24,0.8,-,,,,,136,4.6,,24,0.8
2001,125,4.1,,29,1.0,-,,,,,125,4.1,,29,1.0
2002,125,3.9,,33,1.0,-,,,,,125,3.9,,33,1.0
2003,134,3.7,,40,1.1,-,,,,,134,3.7,,40,1.1
2004,191,4.5,,50,1.2,-,,,,,191,4.5,,50,1.2
2005,234,6.8,,99,2.9,-,,,,,234,6.8,,99,2.9
2006,175,4.9,,83,2.3,20,0.6,,5,0.1,195,5.4,,88,2.5
2007,253,7.1,,56,1.6,33,0.9,,6,0.2,286,8.0,,62,1.7
2008,195,5.2,,73,1.9,40,1.1,,17,0.5,235,6.2,,90,2.4
2009,124,3.1,,61,1.5,187,4.7,,65,1.6,311,7.8,,126,3.1
2010,102,2.5,,72,1.8,199,4.9,,125,3.1,301,7.4,,197,4.8
2011,115,2.7,,68,1.6,285,6.6,,166,3.9,400,9.3,,234,5.4
2012,146,3.3,,66,1.5,227,5.2,,179,4.1,373,8.5,,245,5.6
2013,160,3.5,,77,1.7,383,8.5,,244,5.4,543,12.0,,321,7.1
2014,94,2.1,,81,1.8,297,6.5,,205,4.5,391,8.5,,286,6.2
2015,155,3.4,,57,1.2,235,5.1,,178,3.9,390,8.5,,235,5.1
2016,235,4.9,,80,1.7,268,5.6,,161,3.4,503,10.6,,241,5.1
2017,222,4.5,,98,2.0,251,5.1,,201,4.1,473,9.6,,299,6.1
Total,3574,,,1336,,2425,,,"1,553",,5999,,,3889,
,"A: Claims per 100,000 full-time workers; B: ODs per 100,000 full-time workers. Average conﬁrmation rate of TB:",,,,,,,,,,,,,,
