0,1,2,3,4
,Table 2. Factor associated with anti-hypertensive switching within 6 months after,,the first prescription.,
,,,,Adjusted OR with propensity
,,,Adjusted OR,score
,Crude OR,Adjusted OR,,
,,,(with SBP and DBP),(with SBP and DBP)
Age,,,,
#49,1.00,1.00,1.00,1.00
50–59,"1.51 (1.38, 1.64)*","1.36 (1.25, 1.49)*","1.03 (0.93, 1.15)","0.91 (0.75, 1.09)"
60–69,"1.62 (1.49, 1.76)*","1.39 (1.27, 1.51)*","0.97 (0.87, 1.09)","0.80 (0.60, 1.06)"
$70,"1.71 (1.59, 1.85)*","1.42 (1.31, 1.54)*","0.99 (0.88, 1.11)","0.79 (0.53, 1.16)"
Gender,,,,
Male,1.00,1.00,1.00,1.00
Female,"0.76 (0.72, 0.80)*","0.71 (0.67, 0.75)*","0.65 (0.61, 0.70)*","0.37 (0.27, 0.51)*"
Payment status,,,,
Public assistance,"1.07 (0.99, 1.14)","0.92 (0.85, 0.99)*","0.94 (0.87, 1.03)","0.93 (0.85, 1.02)"
Others,1.00,1.00,1.00,1.00
Service Type,,,,
In-/Day- Patient,"1.25 (1.07, 1.47)*","1.17 (0.99, 1.38)","1.02 (0.85, 1.22)","1.14 (0.77, 1.69)"
Specialist Out-Patient,"0.67 (0.57, 0.79)*","0.74 (0.63, 0.87)*","0.71 (0.59, 0.85)*","0.94 (0.70, 1.27)"
Accident & Emergency,"1.13 (0.94, 1.36)","1.20 (0.99, 1.44)","1.16 (0.95, 1.42)","0.34 (0.12, 0.99)*"
General Out-Patient,"1.15 (0.98, 1.35)","1.11 (0.94, 1.30)","1.04 (0.87, 1.23)","0.65 (0.43, 0.99)*"
Others,1.00,1.00,1.00,
District,,,,
Hong Kong,1.00,1.00,1.00,1.00
Kowloon,"1.40 (1.29, 1.52)*","1.48 (1.36, 1.61)*","1.70 (1.54, 1.88)*","1.83 (1.49, 2.26)*"
New Territories,"1.33 (1.23, 1.43)*","1.37 (1.27, 1.48)*","1.33 (1.21, 1.46)*","1.06 (0.81, 1.38)"
Drug Class,,,,
ACEI,1.00,1.00,1.00,1.00
alpha-Blockers,"0.45 (0.38, 0.52)*","0.36 (0.30, 0.42)*","0.43 (0.35, 0.51)*","0.43 (0.36, 0.52)*"
beta-Blockers,"0.69 (0.64, 0.75)*","0.88 (0.80, 0.95)*","0.98 (0.88, 1.09)","0.98 (0.88, 1.09)"
CCB,"0.97 (0.90, 1.06)","0.97 (0.89, 1.05)","1.01 (0.90, 1.12)","1.01 (0.90, 1.12)"
Thiazide,"1.25 (1.13, 1.38)*","1.39 (1.25, 1.55)*","1.49 (1.31, 1.69)*","1.48 (1.31, 1.69)*"
Co-morbidity,,,,
(diagnosed within 180 days),,,,
No,1.00,1.00,1.00,1.00
Yes,"1.64 (1.55, 1.73)*","1.50 (1.41, 1.59)*","1.48 (1.38, 1.59)*","1.48 (1.38, 1.59)*"
Systolic blood pressure (mmHg),"1.02 (1.02, 1.02)*",,"1.02 (1.02, 1.02)*","1.02 (1.02, 1.02)*"
Diastolic blood pressure (mmHg),"1.00 (1.00, 1.01)*",,"0.99 (0.99, 1.00)","0.99 (0.99, 1.00)*"
