0,1,2,3,4,5,6,7,8,9
,Table 1 Mortality risk (%) and rates (cases per 1000 days at risk),,,"in white veal calves by production system (15 cohorts, 5853 calves, 2007-2009, Belgium)",,,,,
(Continued),,,,,,,,,
Orchitis,6.7,< 0.1 ± 0.1,< 0.01 ± 0.00,-,-,< 0.1 ± 0.1,< 0.01 ± 0.01,-,-
,,(0-0.2),(0-0.01),,,(0-0.2),(0-0.01),,
Trauma,13.3,< 0.1 ± 0.1,< 0.01 ± 0.01,< 0.1 ± 0.1,< 0.01 ± 0.01,0.1 ± 0.1,< 0.01 ± 0.01,-,-
,,(0-0.3),(0-0.02),(0-0.2),(0-0.014),(0-0.3),(0-0.012),,
Urethra obstruction,6.7,< 0.1 ± 0.1,< 0.01 ± 0.01,< 0.1 ± 0.1,< 0.01 ± 0.01,-,-,-,-
,,(0-0.2),(0-0.01),(0-0.2),(0-0.01),,,,
Not autopsied,80.0,0.6 ± 0.6,< 0.01 ± 0.03,0.8 ± 0.6,0.04 ± 0.03,0.2 ± 0.3,0.01 ± 0.01,0.8 ± 0.7,0.04 ± 0.03
,,(0-1.8),(0-0.09),(0.2-1.6),(0.01-0.08),(0-0.6),(0-0.03),(0-1.8),(0-0.09)
- = no cases,,,,,,,,,
