0,1,2,3,4,5,6,7,8
yellow.,,,,,,,,
,,,,,,Little information is available regarding the molecular mecha-,,
TABLE 1,Summary of PEDV replication and pathogenesis in Gn pigsb,,,,,,,
,,,Age at,,Onset of fecal RNA,Highest fecal scorec/,Age (dpi) of piglet,
,No. of,,inoculation,Inoculation,shedding/diarrhea,fecal RNA shedding,at euthanasia,Jejunum
Group,pigs,Pig,(days),or contacta,(dpi or dpc),titer (GE/ml),(day),VH/CD ratio
icPEDV,5,1,19,Inoculation,2/2,3/12.9,ND,ND
,,2,19,Contact,2/4,3/13.2,24 (5),1.2 (cid:6) 0.2
,,3,16,Inoculation,1/2,3/11.5,20 (4),1.4 (cid:6) 0.2
,,4,16,Inoculation,1/2,3/12.0,21 (5),1.3 (cid:6) 0.2
,,5,16,Contact,1/2,3/11.5,21 (5),3.1 (cid:6) 1.5
icPEDV-(cid:3)ORF3-RFP,3,6,14,Inoculation,1/1,2/11.6,16 (2),2.2 (cid:6) 0.1
,,7,14,Contact,2/5,2/11.6,21 (7),1.0 (cid:6) 0.0
,,8,14,Inoculation,1/3,2/10.8,17 (3),2.7 (cid:6) 0.4
PC22A,4,9,18,Inoculation,1/1,3/13.0,19 (1),1.4 (cid:6) 0.3
,,10,18,Contact,2/3,3/11.8,21 (3),1.3 (cid:6) 0.1
,,11,26,Inoculation,1/1,3/11.8,27 (3),ND
,,12,26,Contact,1/2,3/11.12,21 (7),ND
Mock infected,1,11,NA,NA,NA,1/NA,19,6.8 (cid:6) 0.9
"a Pigs 2, 5, 7, and 10 were exposed by indirect contact to the pigs which were housed in the same isolator through small holes drilled into the stainless steel divider. The panel was",,,,,,,,
