0,1,2,3,4,5,6,7
Table 2,(continued ).,,,,,,
,,Percentage of each medical condition in the seven most common breeds (95% conﬁdence interval),,,,,
Rank,Maltese,Poodle,Pomeranian,Shih Tzu,Mixed,Yorkshire,Chihuahua
,,,,,,Terrier,
17,Wound,Patella,Foreign body,Trauma,Loss of appetite,Dermatomycoses,Dermatomycoses
,1.7 (1.2–2.1),luxation,ingestion,1.5 (0.8–2.3),1.3 (0.7–2.2),1.6 (0.9–2.6),1.4 (0.7–2.8)
,,1.3 (0.8–1.8),1.3 (0.8–2.1),,,,
18,Heart disease,Gingivitis,Toxicity,Dermatomycoses,Alopecia,Disorders of,Conjunctivitis
,1.5 (1.1–1.9),1.2 (0.8–1.7),1.2 (0.7–2.0),1.3 (0.7–2.1),1.3 (0.7–2.2),orbit,1.3 (0.6–2.6)
,,,,,,1.5 (0.8–2.4),
19,Gingivitis,Loss of,Gingivitis,Gingivitis,Dermatomycoses,Conjunctivitis,Heart disease
,1.5 (1.1–1.9),appetite,1.2 (0.6–1.9),1.2 (0.6–2.0),1.2 (0.6–2.0),1.4 (0.8–2.4),1.3 (0.6–2.6)
,,1 (0.6–1.5),,,,,
20,Pyoderma,Toxicity,Skin Pruritus,Pyoderma,Respiratory,Pyoderma,Keratitis
,1.3 (0.9–1.7),1.0 (0.6–1.4),1.1 (0.6–1.8),1.2 (0.6–2.0),disorder,1.4 (0.8–2.4),1.3 (0.6–2.6)
,,,,,1.2 (0.6–2.0),,
21,Others,Others,Others,Others,Others,Others,Others
,32.3 (30.8–33.7),26.5 (2.4–2.8),31.4 (28.9–33.9),38.1 (35.3–41.0),34 (31.2–36.8),36.5 (33.5–39.5),34.5 (30.8–38.9)
Notes:,,,,,,,
