0,1,2,3,4,5
Table  1.  NMR-spectroscopic  data  of  plakortide  E  (1)  in  CDCl3  (1H:  400  MHz;  13C:,,,,,
"100 MHz, δ in ppm).",,,,,
Position,δC,Multiplicity,δH,Multiplicity,J (Hz)
1,171.76,C,,,
2,119.75,CH,6.09,d,15.8
3,152.31,CH,6.96,d,15.8
4,87.31,C,,,
,,,2.55,d,12.0
5,56.11,CH2,,,
,,,2.45,d,12.0
6,89.39,C,,,
7,126.71,CH,5.12,s,
8,136.82,C,,,
,,,2.00,m,
9,46.67,CH2,,,
,,,1.85,m,
10,42.68,CH,1.99,m,
11,132.91,CH,5.05,ddt,"15.2, 8.3"
12,132.10,CH,5.34,dt,"15.2, 6.3, 6.3"
13,25.73,CH2,1.96,m,
14,14.19,CH3,0.94,t,7.4
,,,1.88,m,
15,32.36,CH2,,,
,,,1.64,m,
16,9.01,CH3,0.89,t,7.4
17,30.88,CH2,1.76,m,
18,8.95,CH3,0.92,t,7.5
19,17.92,CH3,1.62,d,1.2
,,,1.34,m,
20,27.79,CH2,,,
,,,1.10,m,
21,11.72,CH3,0.81,t,7.4
