0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 4 Assessmenta of medicinal plants based on peer-reviewed referencesb of the last 20 years aiming respiratory indications,,,,,,,,,,,,,,,,,,
Plant species,Number of,Type of,Anti-bacterial,Synergism,Antiviral,Spasmolytic,Expectorant,Antitussive,,,Immuno-stimulant,,,Anti-inflammatory,,,Analgesic,,Hypothesis
,references,reference,,with AB,,,,,,,,,,,,,,,proved
,,,"+
?","o
+
?
o","+
?","o
+
?
o
+","?
o
+",?,o,+,?,o,+,?,o,+,?,o,"+
?
o"
Achillea millefolium L.,2,in vitro,,,,21,,,,,,,,,,,,,
,1,in vivo + clinical,,,,12,,,,,,,,,,,,,
Agrimonia eupatoria L.,1,in vitro,,,13,,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Allium sativum L.,1,in vitro,,,,14,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Althaea officinalis L.,0,in vitro,,,,,,,,,,,,,,,,,
,4,in vivo + clinical,,,,,45,,,,,,,,,,,,
Camellia sinensis (L).,0,in vitro,,,,,,,,,,,,,,,,,
KUNTZE,,,,,,,,,,,,,,,,,,,
,2,in vivo + clinical,16,17,,18,,,,,,,,,,,,,
Cetraria islandica (L.),0,in vitro,,,,,,,,,,,,,,,,,
ACH.,,,,,,,,,,,,,,,,,,,
,1,in vivo + clinical,,,,,,,,,,,19,,,,,,
Echinacea purpurea (L.),3,in vitro,,,210,,,,,,,,211,,,,,,
MOENCH,,,,,,,,,,,,,,,,,,,
,8,in vivo + clinical,112,,113,114,,,,215,,116,,,,,,,"217
218"
Foeniculum vulgare (L.),2,in vitro,,,,219,,,,,,,,,,,,,
MILL.,,,,,,,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Glycyrrhiza glabra L.,1,in vitro,,,120,,,,,,,,,,,,,,
,2,in vivo + clinical,,,,121,122,,,,,,,,,,,,
Mentha x piperita L.,1,in vitro,,,,123,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Pimpinella anisum L.,2,in vitro,,,,224,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Plantago lanceolata L.,1,in vitro,,,,125,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Primula veris L.,1,in vitro,126,,,,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
Rubus fruticosus L.,0,in vitro,,,,,,,,,,,,,,,,,
,1,in vivo + clinical,,,,,,,,,,,127,,,,,,
Rumex ssp. L.,2,in vitro,128,,229,,,,,,,,,,,,,,
,0,in vivo + clinical,,,,,,,,,,,,,,,,,
