0,1,2,3,4
Table 2 Prevalence of Toxoplasma gondii,,"infection in bats in four provinces, China",,
Province,Bat species,No. of examined (%)*,No. of positive,Prevalence (%)
Jilin,Murina leucogaster,140 (22.4),6,4.3
,Myotis chinensis,27 (4.3),3,11.1
,Plecotus auritus,2 (0.3),0,0.0
,Rhinolophus ferrumequinum,8 (1.3),1,12.5
,Subtotal,177 (28.3),10,5.6
Liaoning,Myotis chinensis,9 (1.4),0,0.0
,Myotis ricketti,56 (8.9),2,3.6
,Rhinolophus ferrumequinum,17 (2.7),1,5.9
,Subtotal,82 (13.1),3,3.7
Jiangxi,Murina leucogaster,82 (13.1),2,2.4
,Myotis chinensis,103 (16.5),7,6.8
,Rhinolophus ferrumequinum,18 (2.9),4,22.2
,Subtotal,203 (32.4),13,6.4
Guangdong,Cynopterus sphinx,54 (8.6),1,1.9
,Hipposideros armiger,4 (0.6),0,0.0
,Hipposideros larvatus,67 (10.7),8,11.9
,Hipposideros pomona,9 (1.4),0,0.0
,Rousettus leschenaulti,30 (4.8),3,10.0
,Subtotal,164 (26.2),12,7.3
Total,,626,38,6.1
*The percent accounts for the total bats.,,,,
