0,1,2,3,4,5,6,7,8,9,10
ID,R1,R2,Y,Z,,[a],,[b],,[c]
,,,,,Pseudo-EBOV IC50 (nM),,EA IC50 (nM),,EA IC50/CC50,
Baf,-,-,-,-,14.9±8.93,,40.5±3.31,,7.90,
1e,,,N,CO,5400±2920,,>10000,,ND,
2a,H,-,O,CH2,847±125,,476±60.1,,37.4,
2b,CH3,-,O,CH2,171±40.2,,265±58.6,,21.6,
2c,CH2CH3,-,O,CH2,112±14.7,,254±49.0,,9.37,
2d,,-,O,CH2,175±21.7,,263±46.6,,7.76,
2e,,-,O,CH2,73.2±11.9,,102±19.0,,39.6,
2f,,-,O,CH2,93.1±26.8,,98.7±29.5,,31.7,
2g,,-,O,CH2,107±23.7,,74.3±23.9,,151,
2h,,-,O,CH2,132±32.3,,172±40.6,,144,
2i,,-,O,CH2,76.2±14.6,,104±21.2,,299,
3a,H,,N,CH2,3940±604,,9060±893,,5.40,
3b,H,,N,CH2,6630±437,,>10000,,ND,
