0,1,2,3,4,5,6,7,8
RPD Type Used in Health Care Facilities by Census Region,,,,,,,,
,,2014 n (%)a,,,,2015 n (%)a,,
,Total in region (n = 322),N95 FFR (n = 314),PAPR (n = 299),EHFR (n = 290),Total in region (n = 232),N95 FFR (n = 232),PAPR (n = 225),EHFR (n = 220)
Northeast,47 (14.6),45 (97.8),28 (65.1),14 (35.0),50 (21.6),50 (100),34 (69.4),17 (35.4)
Midwest,113 (35.1),102 (91.9),95 (88.0),33 (31.1),64 (27.6),60 (93.8),53 (84.1),16 (25.8)
South,89 (27.6),84 (96.6),54 (67.5),20 (25.0),68 (29.3),66 (97.1),45 (68.2),13 (20.6)
West,73 (22.7),65 (92.9),57 (83.8),22 (34.4),50 (21.6),45 (91.8),41 (87.2),11 (23.4)
Total,322 (100),296 (94.3),234 (78.3),89 (30.7),232 (100),230 (99.6),173 (76.9),57 (25.9)
"p
 value",,.34,,.576,,.18,,.34
,,,.0007b,,,,.03b,
