0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,"Matrix of Monodetection and Codetection of Viral Pathogens by Multiplex Polymerase Chain Reaction in 1835 Pediatric Severe Acute Respiratory Illness (SARI) Cases in Blantyre, Malawi, 2011–2014a",,,,,,,,,,,,,,,,,
,,Influenza,,,,,,,,,Enteroviruses,Human,Parainfluenza,Parainfluenza,Parainfluenza,Parainfluenza,,,
,Variable,A(H3N2),Influenza B,A(H1N1)pdm09,Influenza C,Bocavirus,Coronavirus 229,Coronavirus 43,Coronavirus 63,,Adenovirus,metapnuemovirus,virus 1,virus 2,virus 3,virus 4,,Parechoviruses RSV,Rhinovirus
,Influenza A(H3N2),66,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Influenza B,0,38,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,A(H1N1)pdm09,1,1,32,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Adenovirus,0,0,0,9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
J,,,,,,,,,,,,,,,,,,,
,Bocavirus,4,4,0,0,49,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Coronavirus 229,0,1,0,0,1,5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Coronavirus 43,7,0,1,0,15,3,38,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Coronavirus 63,2,2,0,0,3,2,5,16,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Enteroviruses,1,3,1,1,5,1,5,3,13,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Influenza C,8,3,1,4,15,2,6,3,15,77,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Human metapnuemovirus,1,3,0,0,13,0,5,1,3,13,64,. . .,. . .,. . .,. . .,. . .,. . .,. . .
,Parainfluenza virus 1,0,0,0,1,3,0,0,0,0,2,3,39,. . .,. . .,. . .,. . .,. . .,. . .
Infect Dis. Author manuscript; available in PMC 2017 March 08.,Parainfluenza virus 2,0,1,0,0,3,0,1,1,0,2,4,2,14,,. . .,. . .,. . .,. . .
,Parainfluenza virus 3,3,0,0,0,8,1,2,8,6,6,1,3,5,91,. . .,. . .,. . .,. . .
,Parainfluenza virus 4,0,1,0,0,2,0,2,0,3,4,3,1,3,5,24,. . .,. . .,. . .
,Parechovirus,3,1,1,19,12,7,0,3,2,41,0,3,2,9,3,6,. . .,. . .
,RSV,2,6,9,1,11,1,7,4,5,11,7,5,1,2,2,13,155,. . .
,Rhinoviruses,4,7,1,7,31,5,9,10,37,28,16,6,5,20,8,11,10,212
,,93 (5.1),64 (3.5),44 (2.4),19 (1.0),130 (7.1),17 (0.9),85 (4.6),48 (2.6),64 (3.5),162 (8.8),112 (6.1),56 (3.1),29 (1.6),142 (7.7),42 (2.3),86 (4.7),220 (12.0),358 (19.5)
,"Positive test results,a no.",,,,,,,,,,,,,,,,,,
,(%),,,,,,,,,,,,,,,,,,
,,29.0,40.6,27.3,52.5,62.3,70.6,55.3,66.7,79.7,52.6,42.9,30.4,51.7,35.9,42.9,93.2,29.5,40.8
,"Coviral detection, %b",,,,,,,,,,,,,,,,,,
