0,1,2,3,4,5
1068,,,,,K. Domanska-Blicharz et al.
Table 2 Results of studies on Polish turkey astrovirus,,,,,
,Isolate,Condition,Age,RT-PCR,Sequence-determined
,,of animals,,typing,typing
1,PL/TK/G56/08,PEC,10 weeks,TAstV-2,–
2,PL/TK/G59/08,PEMS,5 weeks,TAstV-2,–
3,PL/TK/79/08,PEMS,9 days,TAstV-2,TAstV-2
4,PL/TK/81/08,PEC,12 weeks,No,TAstV-1
5,PL/TK/85/08,PEC,5 weeks,No,TAstV-1
6,PL/TK/92/08,PEC,4 weeks,TAstV-2,TAstV-2
7,PL/TK/G108/08,healthy,3 weeks,"TAstV-1, TAstV-2",TAstV-2
8,PL/TK/G109/08,PEC,4 weeks,No,TAstV-2
9,PL/TK/G110/08,PEC,16 days,"TAstV-1, TAstV-2",TAstV-1
10,PL/TK/G114/08A,healthy,7 weeks,No,TAstV-2
11,PL/TK/G116/08,PEMS,3 weeks,"TAstV-1, TAstV-2",TAstV-2
12,PL/TK/G118/08,PEMS,25 days,TAstV-2,TAstV-2
13,PL/TK/G121/08,healthy,7 weeks,TAstV-2,–
14,PL/TK/G122/08,healthy,5 weeks,"TAstV-1, TAstV-2",TAstV-1
15,PL/TK/G123/08,healthy,9 weeks,TAstV-2,TAstV-2
16,PL/TK/G125/08,healthy,6 weeks,"TAstV-1, TAstV-2",TAstV-1
17,PL/TK/G126/08,healthy,4 weeks,TAstV-2,TAstV-2
18,PL/TK/G130/08,n/a,n/a,No,TAstV-2
19,PL/TK/G143/08,PEC,8 days,TAstV-2,TAstV-2
20,PL/TK/G144/08,PEC,10 weeks,No,TAstV-2
21,PL/TK/G145/08,PEMS,4 weeks,No,ANV
22,PL/TK/G164/08,healthy,4 weeks,TAstV-2,–
23,PL/TK/G165/08,PEMS,7 days,TAstV-2,TAstV-2
24,PL/TK/G182/08,PEC,2 weeks,TAstV-2,TAstV-2
25,PL/TK/G188/08,PEMS,5 weeks,TAstV-2,TAstV-2
26,PL/TK/G190/08,PEMS,14 weeks,TAstV-2,TAstV-2
27,PL/TK/G193/08-K1,PEC,3 weeks,TAstV-2,TAstV-2
28,PL/TK/G193/08-K3,PEC,2 weeks,TAstV-2,TAstV-2
29,PL/TK/G193/08-K4,PEC,4 weeks,TAstV-2,TAstV-2
30,PL/TK/G193/08-K5,PEC,2 weeks,TAstV-2,TAstV-2
31,PL/TK/G197/08,PEC,4 weeks,No,TAstV-1
32,PL/TK/G213/08,PEC,3 weeks,TAstV-2,TAstV-2
33,PL/TK/G222/08,PEC,2 weeks,"TAstV-1, TAstV-2",TAstV-2
34,PL/TK/G223/08,PEMS,23 days,TAstV-2,TAstV-2
