0,1,2,3,4,5,6,7
"Table 1. Number of reported cases, mandatory reporting disease, Japan, 1993-1998.",,,,,,,
,,,No. of reported cases,,,,
,1993,1994,1995,1996,1997,1998,Incidence rate*
,Legally defined communicable diseases†,,,,,,
Cholera,92,90,306,40,89,61,0.90
Diphtheria,5,1,1,1,1,3,0.02
Dysentery,"1,120","1,042","1,062","1,218","1,301","1,749",9.94
Meningococcal meningitis,7,6,3,4,5,6,0.04
Epidemic typhus,0,0,0,0,0,0,0.00
Japanese encephalitis,8,6,4,6,6,4,0.05
Paratyphoid fever,46,49,75,32,37,54,0.39
Plague,0,0,0,0,0,0,0.00
Scarlet fever,23,6,5,4,3,0,0.05
Smallpox,0,0,0,0,0,0,0.00
Typhoid fever,129,71,64,81,79,61,0.64
,Specially designated communicable diseases†,,,,,,
Acute poliomyelitis,3,1,1,0,0,0,0.01
Enterohemorrhagic Escherichia coli infection,...,...,...,"1,287","1,941","2,077",14.08
Lassa fever,0,0,0,0,0,0,0.00
,Notifiable communicable diseases†,,,,,,
Anthrax,0,2,0,0,0,0,0.00
Filariasis,1,0,1,1,0,1,0.01
Infectious diarrhea,2,1,0,10,140,0,0.20
Influenza,"16,655","2,404","22,393","8,774","8,816","14,778",97.98
Malaria,58,74,66,51,69,79,0.53
Measles,"2,002","1,766",931,"1,640",899,761,10.62
Pertussis,131,145,226,183,42,43,1.02
Rabies,0,0,0,0,0,0,0.00
Relapsing fever,0,0,0,0,0,0,0.00
Scrub typhus,712,652,529,423,487,538,4.43
Tetanus,33,44,45,44,47,47,0.35
,Acquired Immunodeficiency Syndrome Prevention Law,,,,,,
Acquired immunodeficiency syndrome,,,,,,,
Asymptomatic,277,298,277,376,397,422,2.72
Acquired immunodeficiency syndrome,86,136,169,234,250,231,1.47
,Venereal Diseases Prevention Law,,,,,,
Chancroid,9,4,5,6,3,4,0.04
Gonorrhea,"1,724","1,448","1,699","2,201","2,355","3,096",16.62
Lymphogranuloma inguinale,1,0,0,1,1,1,0.01
Syphilis,804,666,530,565,448,553,4.73
...: Not applicable.,,,,,,,
