0,1,2,3,4,5
Table 2 Comparison of spot volume and intensity in ethanol,,,,fractionated human,
plasmaa,,,,,
Spot# b,Protein,Ethanol Supernatant,,Ethanol Precipitate,
,Name,% Volume,% intensity,% Volume,% intensity
1,a2 HS glycoprotein,10 ± 1.4,23 ± 1.8**,8 ± 1.2,13 ± 1.6
2,a1-antitrypsin,160 ± 14,67 ± 6.4,170 ± 23,59 ± 4.7
3,Zinc a2 glycoprotein,36 ± 4.6**,46 ± 4.2**,12 ± 2.1,19 ± 4.8
4,SP40,20 ± 3.8,44 ± 2.7,21 ± 3.1,39 ± 3.2
5,Haptoglobin,36 ± 4.3**,51 ± 9.0**,19 ± 2.8,29 ± 2.5
6,Transthyretin,137 ± 19**,68 ± 5.6**,54 ± 13,33 ± 11
7,Apolipoprotein AIV,120 ± 11**,64 ± 8.3**,35 ± 7.8,37 ± 5.2
8,Apolipoprotein A1,140 ± 12,70 ± 4.1,121 ± 13,54 ± 5.9
8,Apolipoprotein A1,640 ± 23**,74 ± 8.2,405 ± 15,63 ± 6.2
9,Apolipoprotein A1,41 ± 3.0,59 ± 6.9,54 ± 4.7,36 ± 4.1
10,Retinol BP 4,53 ± 12**,58 ± 5.8*,27 ± 7.5,42 ± 5.5
11,Haptoglobin hp2a,73 ± 5.6**,56 ± 4.3**,41 ± 6.1,36 ± 4.2
12,Haptoglobin hp2a,215 ± 9.2**,70 ± 4.8,170 ± 8.5,62 ± 6.8
13,Haptoglobin hp2a,155 ± 8.4**,64 ± 6.8,91 ± 9.2,57 ± 6.8
14,Transthyretin,77 ± 5.8,56 ± 6.8,87 ± 9.2,54 ± 6.8
15,Transthyretin,10 ± 5.6,7.5 ± 6.8,11 ± 9.2,8.2 ± 6.8
18,Apolipoprotein CIII,123 ± 8.4**,58 ± 6.8 **,91 ± 9.2,27 ± 6.8
19,Apolipoprotein CIII,125 ± 8.4**,79 ± 3.4**,65 ± 7.8,25 ± 4.3
20,Apolipoprotein CII,35 ± 4.4**,24 ± 7.2**,11 ± 9.2,8.9 ± 6.8↑
Data are mean ± SEM of,,the % volume and intensity of protein spots on the 2D gels multiplied by 100. Significant,,,
