0,1,2,3,4,5
,other biases may be intentionally,,"sources, with 141 unique infectious",,reports by means of a series of text
,"Table 1. Infectious Disease Occurrences Extracted from Google News Searches from October 1, 2006 through July 18, 2007",,,,
Disease Reported,n,Disease Reported (continued),n,Disease Reported (continued),n
Avian influenza,877,Chikungunya,29,West Nile virus,4
Escherichia coli,733,Shigellosis,28,Botulism,3
Salmonella,479,Rift Valley fever,26,Brucellosis,3
Norovirus,384,"Hand, foot, and mouth disease",25,Conjunctivitis,3
Influenza,251,HIV/AIDS,24,Hantavirus,3
Dengue fever,190,Anthrax,22,Schistosomiasis,3
Cholera,149,SARS,21,Blastomycosis,2
Gastroenteritis,127,Parvovirus infection,19,Bluetongue,2
Clostridium difficile,100,Scabies,19,Chlamydia,2
Measles,93,Rabies,16,Crimean-Congo hemorrhagic fever,2
Equine herpes,86,Polio,15,Equine infectious disease,2
Tuberculosis,77,Swine fever,15,Lassa fever,2
Mumps,74,Syphilis,15,Leptospirosis,2
Diarrhea,58,Methicillin-resistant Staphylococcus aureus,14,Rotavirus,2
Whooping cough,58,Plague,14,Bovine spongiform encephalopathy,1
Herpes,57,Enterococcal disease,13,Chronic wasting disease,1
Staphylococcal disease,56,Cryptosporidium,12,Creutzfeldt-Jakob disease,1
Legionellosis,54,Encephalitis,12,Eastern equine encephalitis,1
Chickenpox,48,Smallpox,10,Lyme disease,1
Malaria,48,African horse sickness,9,Monkeypox,1
Meningitis,44,Newcastle disease,8,Mononucleosis,1
Hepatitis,42,Dysentery,7,Q fever,1
Foot and mouth disease,36,Streptococcal disease,7,Soybean rust,1
Algae,34,Yellow fever,7,Strangles,1
Typhoid,33,Ebola,5,Tularemia,1
Pseudomonas aeruginosa,30,Scarlet fever,4,Vesicular stomatitis,1
