0,1,2,3,4,5,6,7,8,9,10,11
Table 3. Data for the numerical example.,,,,,,,,,,,
,,,Standard (S),,,,Experimental (E),,,,
i,n••,nS1,nS2,nS3,nS4,nE1,nE2,nE3,nE4,Zi,Vi
1,22,6,0,1,4,5,1,2,3,−0.046,1.540
2,44,9,0,3,10,11,1,4,6,1.796,3.131
3,66,10,0,8,15,17,2,7,7,4.939,4.855
4,88,13,2,11,18,18,2,9,15,2.580,6.539
5,110,18,2,12,23,20,4,11,20,1.827,8.156
6,132,18,5,15,28,24,4,13,25,2.780,9.825
7,154,22,5,17,33,28,4,17,28,3.390,11.456
8,176,24,5,21,38,31,6,21,30,5.017,13.170
9,198,27,5,23,44,38,6,22,33,7.197,14.749
10,220,32,7,23,48,44,7,24,35,7.959,16.410
11,242,32,8,24,57,47,9,25,40,10.285,17.992
