0,1,2,3,4,5,6,7,8,9,10
,,Dengue Virus 1–4,Influenza A & B Virus,,,Other Respiratory,Chikungunya Virus,,,Enterovirus
,,,,,,Viruses*,,,,
,n,%,n,%,n,%,n,%,n,%
Dengue virus 1–4,,,7,15.2,23,28.8,0,0.0,3,23.1
Influenza A & B virus,7,20.6,,,23,28.8,8,29.6,6,46.2
Other respiratory viruses,23,67.6,23,50.0,13,16.3,17,63.0,4,30.8
Chikungunya virus,0,0.0,8,17.4,17,21.3,,,0,0.0
Enterovirus,3,8.8,6,13.0,4,5.0,0,0.0,,
Burkholderia pseudomallei,1,2.9,2,4.3,0,0.0,0,0.0,0,0.0
Leptospira spp.,0,0.0,0,0.0,0,0.0,2,7.4,0,0.0
Total,34,100.0,46,100.0,80,100.0,27,100.0,13,100.0
