0,1,2,3,4,5,6,7
"Table 1 Porcine epidemic diarrhea virus (PEDV) whole virus (WV) ELISA sensitivity (Se) and specificity (Sp) by specimen type,",,,,,,,
"antibody isotype, and sample-to-positive (S/P)",,,,ratioa,,,
Oral,fluid - PEDV WV IgG ELISA,,,,Oral,fluid - PEDV WV IgA ELISA,
S/P,,Se (95 % CI),,Sp (95 % CI),S/P,Se (95 % CI),Sp (95 % CI)
0.30,,"1.00 (0.92, 1.00)",,"0.86 (0.84, 0.89)",0.30,"1.00 (0.92, 1.00)","0.88 (0.86, 0.90)"
0.40,,"1.00 (0.92, 1.00)",,"0.90 (0.88, 0.92)",0.40,"1.00 (0.92, 1.00)","0.96 (0.94, 0.97)"
0.50,,"0.98 (0.87, 1.00)",,"0.93 (0.91, 0.94)",0.50,"1.00 (0.92, 1.00)","0.98 (0.97, 0.99)"
0.60,,"0.88 (0.74, 0.96)",,"0.95 (0.93, 0.96)",0.60,"1.00 (0.92, 1.00)","0.99 (0.99, 1.00)"
0.70,,"0.71 (0.55, 0.84)",,"0.96 (0.95, 0.97)",0.70,"1.00 (0.92, 1.00)","1.00 (0.99, 1.00)"
0.80,,"0.69 (0.53, 0.82)",,"0.97 (0.96, 0.98)",0.80,"1.00 (0.92, 1.00)","1.00 (0.99, 1.00)"
,Serum - PEDV WV IgG ELISA,,,,Serum - PEDV WV IgA ELISA,,
S/P,,Se (95 % CI),,Sp (95 % CI),S/P,Se (95 % CI),Sp (95 % CI)
0.30,,"1.00 (0.98, 1.00)",,"0.95 (0.93, 0.96)",0.30,"0.93 (0.88, 0.96)","1.00 (0.99, 1.00)"
0.40,,"0.99 (0.96, 1.00)",,"0.98 (0.97, 0.99)",0.40,"0.90 (0.86, 0.94)","1.00 (0.99, 1.00)"
0.50,,"0.97 (0.93, 0.99)",,"0.99 (0.98, 1.00)",0.50,"0.82 (0.76, 0.87)","1.00 (0.99, 1.00)"
0.60,,"0.95 (0.91, 0.86)",,"0.99 (0.98, 1.00)",0.60,"0.73 (0.67, 0.79)","1.00 (0.99, 1.00)"
0.70,,"0.91 (0.86, 0.94)",,"0.99 (0.98, 1.00)",0.70,"0.66 (0.59, 0.72)","1.00 (0.99, 1.00)"
0.80,,"0.87 (0.82, 0.91)",,"0.99 (0.98, 1.00)",0.80,"0.58 (0.51, 0.65)","1.00 (0.99, 1.00)"
,ð,sample OD – negative control mean OD,Þ,,,,
"aS=P ¼
ð",positive control mean OD – negative control mean OD,,Þ,,,,
