0,1,2,3,4
,,,,|  147
TA B L E   3  Patients’ baseline,,,,
,,Intervention group,,
characteristics,,,,
,Variable,(n = 50),Control group (n = 70),P value
,Demographic feature,,,
,"Age, mean years ± SD",53.6 ± 20.7,58.6 ± 17.6,.16
,Male sex,33(66.0%),39(55.7%),.26
,Clinical feature,,,
,Duration,9.2 ± 4.8,7.0 ± 3.7,<.01
,(onset to admission),,,
,White Blood Cells,6.5 ± 3.5,6.9 ± 2.6,.76
,(×109/L),,,
,Neutrophil (%),65.6 ± 24.4,66.4 ± 12.4,.83
,Lymphocyte (%),16.5 ± 13.0,23.8 ± 10.7,<.01
,CRP(mg/L),41.5 ± 48.1,54.4 ± 50.4,.15
,PCT (ng/mL),0.4 ± 1.3,0.17 ± 0.2,.22
,Onset site,,,
,Community Acquired,33 (66.0%),45 (64.6%),.85
,Hospital Acquired,17 (34.0%),25 (35.4%),
,Pneumonia Severe Index,77.2 ± 33.2,59.9 ± 19.4,<.01
