0,1,2,3,4,5,6,7,8,9,10
"Prokop et al. AMB Express 2014, 4:21",,,,,,,,,,Page 10 of 15
http://www.amb-express.com/content/4/1/21,,,,,,,,,,
(a),,,,,,,,,,
,15,,,,,,,,,
"L o g i
t",,,,,,,,,,
,"( p r o b  
10",,,,,,,,,
,"i n a c
5",,,,,,,,,
,t,,,,,,,,,
,i v a t,,,,,,,,90,
,i o n ),0,,,,,,,85,
,,,,,,,,,80,
,,,60,,,,,,,
,,,,,,,,75,,
,,,,,65,,,Relative humidity,,
,,,,T,,,,70,,
,,,,e,,,,,,
,,,,m,,,,,,
,,,,,70,,,,,
,,,,,perature (°C),,,,,
,,,,,,,,65,,
,,,,,,75,60,,,
(b),,,,,,,,,,
15,,,,,,,,,,
"L o g i
t",,,,,,,,,,
( p r o b,10,,,,,,,,,
,"i n a c
t",,,,,,,,,
,"i v a t
5",,,,,,,,,
,i o n ),,,,,,,,90,
,,0,,,,,,,,
,,,,,,,,,85,
,,,,,,,,,80,
,,,60,,,,,,,
,,,,,,,,75,,
,,,,,65,,,Relative humidity,,
,,,,T,,,,70,,
,,,,e,,,,,,
,,,,m,,,,,,
,,,,,70,,,,,
,,,,,perature (°C),,,,,
,,,,,,,,65,,
,,,,,,75,60,,,
,Figure 4 Response surface plot for (a) B. anthracis ΔSterne and (b) B. thuringiensis Al Hakam on nylon at 4 days.,,,,,,,,,
