0,1,2,3,4,5,6
"Median age, y",10.3 (2.9- 31.3),30.7 (27.8- 36.9),4.0 (2.1- 28.3),17.4 (3.2- 29.3),9.2 (2.8- 30.5),
(Interquartile range),,,,,,
Age strata (y)a,,,,,,
<1,0 (0%),0 (0%),1 (5%),3 (12%),4 (6%),0.44
1- 4,8 (44%),1 (20%),10 (48%),7 (28%),26 (38%),
5- 17,4 (22%),0 (0%),4 (19%),4 (16%),12 (17%),
18- 64,6 (33%),4 (80%),5 (24%),11 (44%),26 (38%),
≥65,0 (0%),0 (0%),1 (5%),0 (0%),1 (1%),
Hispanic ethnicitya,18 (100%),5 (100%),21 (100%),25 (100%),69 (100%),
Type of insurancea,,,,,,
Commercial,2 (11%),1 (20%),4 (19%),5 (20%),12 (17%),0.78
Medicaid,15 (83%),4 (80%),14 (67%),19 (76%),52 (75%),
Uninsured,1 (6%),0 (0%),3 (14%),1 (4%),5 (7%),
Most common presenting symptomsa,,,,,,
Runny nose,13 (72%),4 (80%),14 (67%),17 (68%),48 (70%),0.93
Cough,14 (78%),4 (80%),14 (67%),14 (56%),46 (67%),0.44
Sore throat,5 (28%),0 (0%),5 (24%),7 (28%),21 (30%),0.10
Fever,5 (28%),0 (0%),6 (29%),4 (16%),15 (22%),0.42
Outcomes,,,,,,
Medically attendeda,8 (44%),2 (40%),4 (19%),8 (32%),22 (32%),0.38
Antibiotic usagea,3 (17%),2 (40%),2 (10%),2 (8%),9 (13%),0.24
School/work days,1 [1- 1.75],1.5 [1.25- 1.75],1 [1- 2],1 [1- 1],1 [1- 2],0.52
"missed, median [IQR]",,,,,,
