0,1,2,3,4,5,6,7
cate dilutions of 5 different plasmid concentrations gave,,,,"Furthermore,",from the multiple,,"combination samples, 33"
,Table 2 Limit of detection of each target gene using regression probit analysis,,,,,,
Target pathogen,Target,,"No. of replicates (%) for positive standards, copies/reactions",,,,Limit of
,,,,,,,"detection,"
,,100,50,10,5,1,
,,,,,,,copies/reactions
Herpes simplex virus types 1,gD,12/12 (100),12/12 (100),12/12 (100),10/12 (83),6/12 (50),7.079
,gG,12/12 (100),12/12 (100),12/12 (100),6/12 (50),0/12 (0),7.215
Herpes simplex virus types 2,gD,12/12 (100),12/12 (100),12/12 (100),11/12 (92),9/12 (75),5.692
,gG,12/12 (100),12/12 (100),12/12 (100),10/12 (83),5/12 (42),6.927
Chlamydia trachomatis,cryptic plasmid,12/12 (100),12/12 (100),12/12 (100),12/12 (100),7/12 (58),3.230
,omp1,12/12 (100),12/12 (100),12/12 (100),11/12 (92),9/12 (75),5.692
Treponema pallidum,polA,12/12 (100),12/12 (100),12/12 (100),12/12 (100),11/12 (92),1.739
,tpp47,12/12 (100),12/12 (100),12/12 (100),11/12 (92),7/12 (58),5.732
Neisseria gonorrhoeae,opa,12/12 (100),12/12 (100),12/12 (100),7/12 (58),6/12 (50),10.009
,porA,12/12 (100),12/12 (100),12/12 (100),11/12 (92),5/12 (42),5.630
Trichomonas vaginalis,beta-tubulin,12/12 (100),12/12 (100),12/12 (100),11/12 (92),6/12 (50),5.688
,repeated DNA target,12/12 (100),12/12 (100),12/12 (100),11/12 (92),9/12 (75),5.692
Mycoplasma hominis,gap,12/12 (100),12/12 (100),12/12 (100),4/12 (33),0/12 (0),7.961
,YidC,12/12 (100),12/12 (100),12/12 (100),9/12 (75),7/12 (58),8.428
Ureaplasma urealyticum,ureA,12/12 (100),12/12 (100),12/12 (100),10/12 (83),5/12 (42),6.927
,ureC,12/12 (100),12/12 (100),12/12 (100),12/12 (100),6/12 (50),3.369
Mycoplasma genitalium,16S rRNA IR,12/12 (100),12/12 (100),12/12 (100),11/12 (92),8/12 (67),5.744
,magB,12/12 (100),12/12 (100),12/12 (100),10/12 (83),4/12 (33),6.762
Ureaplasma parvum,rpmA,12/12 (100),12/12 (100),12/12 (100),10/12 (83),6/12 (50),7.079
,ureD,12/12 (100),12/12 (100),12/12 (100),10/12 (83),2/12 (17),6.381
Haemophilus ducreyi,16S rRNA IR,12/12 (100),12/12 (100),12/12 (100),6/12 (50),0/12 (0),7.215
,recD,12/12 (100),12/12 (100),12/12 (100),10/12 (83),2/12 (17),6.381
