0,1,2
,,Social Capital and Behavioral Intentions in an Influenza Pandemic
,"Table 4. Association between social capital, sociodemographic factors, risk perception, and the in-",
tention to wash hands more frequently.,,
Variables,OR (95% CI)a,AOR (95% CI)b
Sociodemographic factors and risk perception,,
Gender,,
Female,1,1
Male,0.78 (0.52–1.19),0.75 (0.49–1.16)
Age,,
20–34,1,1
35–49,2.06 (1.19–3.59)**,1.92 (1.01–3.65)
50–64,2.47 (1.39–4.38)**,2.34 (1.11–4.92)
(cid:1) 65,1.20 (0.68–2.12),1.35 (0.61–3.01)
Monthly family income,,
"< NT$50,000",1,1
"NT$50,000–89,999",1.11 (0.64–1.95),0.95 (0.52–1.75)
"NT$90,000–179,999",1.17 (0.63–2.14),0.99 (0.51–1.94)
"(cid:1) NT$180,000",0.92 (0.52–1.62),0.87 (0.48–1.58)
Missing,2.72 (0.63–11.67),2.66 (0.59–12.02)
Education,,
High school graduates,1,1
Some college,1.51 (0.86–2.65),1.72 (0.88–3.37)
College graduates,1.29 (0.80–2.08),1.70 (0.88–3.28)
Marital status,,
Others,1,1
Married,1.65 (1.09–2.48)*,1.18 (0.71–1.97)
Locality,,
Urban,1,1
Suburban,0.53 (0.35–0.82)*,0.54 (0.34–0.84)*
Rural,1.02 (0.48–2.14),0.98 (0.45–2.12)
Self-rated health,,
Poor,1,1
Good,0.96 (0.63–1.46),0.90 (0.58–1.41)
Perceived susceptibility,,
Low,1,1
High,2.93 (1.35–6.39)*,2.93 (1.33–6.45)**
Perceived severity,,
Low,1,1
High,1.82 (1.07–3.11)*,1.62 (0.92–2.85)
Bonding social capital,,
