0,1,2,3,4,5,6
Eur J Clin Microbiol,,Infect Dis (2011) 30:159–165,,,,163
Table 3,Types of viruses found and number of positive swabs,,,,,
Virus,Number of positive,Oropharynx,,Nasopharynx,,
,patients,,,,,
,,Rayon swab,Flocked swab,Rayon swab,Flocked swab,
,,Positive swabs/total,Positive swabs/total,Positive swabs/total,,Positive swabs/total
,,swabs used,swabs used,swabs used,swabs used,
Influenza A,7,3/7,4/7,6/7,7/7,
RSV,3,3/3,2/2,1/3,2/2,
hMPV,3,1/3,2/3,1/3,3/3,
AdV,2,1/2,1/2,1/2,1/2,
PIV type 3,2,2/2,2/2,1/1,1/2,
Influenza B,1,1/1,1/1,1/1,1/1,
PIV type 4,1,1/1,0/1,0/1,0/1,
Total,19,12/19,12/18,11/18,15/18,
