0,1,2,3,4
Table 1 | Toll-like receptors and their ligands.,,,,
Receptor,Sub-cellular expression,Adaptor molecule,Ligand,Origin
TLR1 (with TLR2),Cell membrane,MyD88/TIRAP,"Triacyl
lipopeptides","Bacteria, mycobacteria"
,,,Soluble factors,Neisseria meningitidis
TLR2 (with TLR1 or TLR6),Cell membrane,MyD88/TIRAP,"Lipoproteins,
lipopeptides",Various pathogens
,,,Lipoteichoic acid,Gram-positive bacteria
,,,Peptidoglycan,Bacteria
,,,Lipoarabinomannan,Mycobacteria
,,,"Phenol-soluble modulin,","Staphylococcus epidermidis,"
,,,porins,Neisseria
,,,Atypical LPS,"Leptospira interrogans,"
,,,,Porphyromonas gingivalis
,,,"Glycoinositolphospholipids,","Trypanozoma, Toxoplasma,"
,,,glycolipids,Plasmodium
,,,"Beta-glucan, mannan",Fungi
,,,"Core and NS3 proteins,","Hepatitis virus, Epstein–Barr virus,"
,,,"dUTPase, glycoproteins",Cytomegalovirus
,,,HSP70,Host
TLR3,Endolysosomal,TRIF,Double-stranded RNA,Viruses
TLR4,Cell membrane and,"MyD88/TIRAP,",LPS,Gram-negative bacteria
,endolysosomal,TRIF/TRAM,,
,,,O-linked mannan,Fungi
,,,Taxol,Plants
,,,Fusion and envelope protein,"Respiratory syncytial virus, mouse"
,,,,mammary tumor virus
,,,HSP60,Chlamydia pneumoniae
,,,"HMGB1, HSP70, ﬁbronectin,",Host
,,,ﬁbrinogen,
TLR5,Cell membrane,MyD88,Flagellin,Flagellated bacteria
TLR6 (with TLR2),Cell membrane,MyD88/TIRAP,"Diacyl
lipopeptides,","Mycoplasma, Gram-positive"
,,,"lipoteichoic acid, β-glucan","bacteria, fungi"
TLR7,Endolysosomal,MyD88,Single-stranded RNA,"Viruses, bacteria"
,,,"Imidazoquinoline, loxoribine,",Synthetic compounds
,,,bropirimine,
TLR8,Endolysosomal,MyD88,Single-stranded RNA,"Viruses, bacteria"
,,,Imidazoquinoline,Synthetic compounds
TLR9,Endolysosomal,MyD88,CpG-containing DNA,"Bacteria, viruses, fungi"
,,,Homozoin,Plasmodium falciparum
TLR10 (±TLR1 or TLR2),Cell membrane,MyD88,Lipopeptides (prediction),
TLR11,Endolysosomal,MyD88,Flagellin,Flagellated bacteria
TLR12,Endolysosomal,MyD88,Proﬁlin,Apicomplexan parasites
TLR13,Endolysosomal,MyD88,23S RNA,Bacteria
