0,1,2
"Johnson and Wang Virology Journal 2014, 11:4",,Page 8 of 17
http://www.virologyj.com/content/11/1/4,,
Nick Knowles,Richard Kuhn,Ghislaine Le Gall-Recule
UK,USA,France
Norbert Koch,Thijs Kuiken,Jason LeBlanc
Germany,Netherlands,Canada
Jeffrey Koehler,Pankaj Kumar,Neil LeBlanc
USA,USA,Sweden
Tuckweng Kok,Sachin Kumar,Chang Lee
Australia,India,USA
Tee Kok Keng,Santosh Kumar,Wai-ming Lee
Malaysia,USA,USA
Kouacou Konan,Vinod Kumar,Porntippa Lekcharoensuk
USA,India,Thailand
Jeroen Kortekaas,Kattareeya Kumthip,Guy Lemay
Netherlands,Thailand,Canada
George Koutsoudakis,Elizabeth Kutter,David Lembo
Spain,USA,Italy
Anna Kramvis,Ann Kwan,Keith Leppard
South Africa,Australia,UK
Philip Krause,Nicole La Gruta,George Leser
USA,Australia,USA
Joost Kreijtz,Michael Lagunoff,Feng Li
Netherlands,USA,China
Jan Kreuze,Ching Lung Lai,Guoqing Li
Peru,China,China
Susanne Kreuzer,Amreek Lal,Jisu Li
Germany,Pakistan,USA
Neel Krishna,Elisabeth Lampe,Linlin Li
USA,Brazil,USA
Bernd Kronenberger,Daryl Lamson,Shifang Li
Germany,USA,China
Andrew Kropinski,Jason LanmanJasonL,Xiangdong Li
Canada,USA,China
Detlev H Kruger,Moshe Lapidot,Zejun Li
Germany,Israel,China
Mart Krupovic,Lars Larsen,Zhenghe Li
France,Denmark,China
Chih-Hung Ku,Magdalena Larska,Pawel P. Liberski
Taiwan,Poland,Poland
Ondrej Kucera,Karen Laurie,Daniel Libraty
Czech Republic,Australia,USA
Beate Kuemmerer,Jen Layden,Uwe G. Liebert
Germany,USA,Germany
Jens H. Kuhn,Tiziana Lazzarotto,Gipsi Lima Mendez
USA,Italy,Belgium
