0,1,2,3,4,5,6,7,8,9,10,11,12
Table 4. The inhibitory effect of garlic extract on IBV (Intervet 4/91) in ovo as  a primary mixture of different,,,,,,,,,,,,
dilutions of virus and constant amount of garlic extract,,,,,,,,,,,,
,Parameter,,,,Candling evidences,,,,,,,
,,,,,Number of death/ reduction of growth in comparison to control,,,,,,,
,,,,,group(17days old),,,,,,,
,,Dilution of virus,Number of eggs,1st day,2nd day,3rd day,4th day,5th day,6th day,7th day,,
T,rial,,,,,,,,,,Mean EI,p Value
,groups,,,,,,,,,,,
,i,10-2,4,0/++,0/++,0/++,0/++,0/++,0/++,0/++,3194±222,<0.05
,,10-3,4,0/++,0/++,0/++,0/++,0/++,0/++,0/++,2992.2±314,<0.05
,,10-4,4,0/++,0/++,0/++,0/++,0/++,0/++,0/++,3143.7±220,<0.05
,,10-5,4,0/+,0/+,0/+,0/+,0/+,0/+,0/+,2883.7±518,<0.05
,,10-6,4,0/+,0/+,0/+,0/+,0/+,0/+,0/+,3264±379,<0.05
,ii,10-2,4,0/-,0/-,0/-,0/-,0/-,0/-,0/-,3625.5±57,<0.05
,,10-3,4,0/-,0/-,0/-,0/-,0/-,0/-,0/-,3361±281,<0.05
,,10-4,4,0/-,0/-,0/-,0/-,0/-,0/-,0/-,3694.5±313,<0.05
,,10-5,4,0/-,0/-,0/-,0/-,0/-,0/-,0/-,3619.2±171,<0.05
,,10-6,4,0/-,0/-,0/-,0/-,0/-,0/-,0/-,3730.5±256,<0.05
,iii,0,8,0/-,0/-,0/-,0/-,0/-,0/-,0/-,3728,
